headword,successes,failures,total,failure_rate,high_failure
durren,0,31,31,1.0,YES
casten,0,25,25,1.0,YES
werken,0,11,11,1.0,YES
cacchen,0,7,7,1.0,YES
stinten,0,11,11,1.0,YES
speden,0,7,7,1.0,YES
henten,0,16,16,1.0,YES
kissen,0,11,11,1.0,YES
shitten,0,8,8,1.0,YES
sterten,0,15,15,1.0,YES
feden,0,4,4,1.0,YES
kepen,0,7,7,1.0,YES
fetten,0,3,3,1.0,YES
putten,0,3,3,1.0,YES
bien,0,3,3,1.0,YES
brennen,0,11,11,1.0,YES
bisetten,0,3,3,1.0,YES
costen,0,3,3,1.0,YES
sechen,0,7,7,1.0,YES
techen,0,8,8,1.0,YES
lepen,0,3,3,1.0,YES
spenden,0,3,3,1.0,YES
wenden,1,77,78,0.9871794871794872,YES
tellen,1,52,53,0.9811320754716981,YES
heren,1,46,47,0.9787234042553191,YES
answeren,1,43,44,0.9772727272727273,YES
setten,1,25,26,0.9615384615384616,YES
crien,1,8,9,0.8888888888888888,NO
dien,3,23,26,0.8846153846153846,NO
bringen,3,15,18,0.8333333333333334,NO
bireven,1,5,6,0.8333333333333334,NO
letten,1,4,5,0.8,NO
haven,97,264,361,0.7313019390581718,NO
aspien,2,3,5,0.6,NO
passen,5,3,8,0.375,NO
dwellen,3,1,4,0.25,NO
lakken,5,1,6,0.16666666666666666,NO
commaunden,6,0,6,0.0,NO
graunten,5,0,5,0.0,NO
wondren,3,0,3,0.0,NO
demen,3,0,3,0.0,NO
thanken,4,0,4,0.0,NO
usen,3,0,3,0.0,NO
