Headword,Tag,Ending,Count,Percent
ther,adv,other,471,85.64%
ther,adv,-e,78,14.18%
ther,adv,-d,1,0.18%
a,indef_art,vowel,2520,93.96%
a,indef_art,other,159,5.93%
a,indef_art,-t,1,0.04%
a,indef_art,-e,2,0.07%
a,interj,vowel,26,96.30%
a,interj,-e,1,3.70%
a,n,vowel,2,100.00%
gret,adj,-t,152,68.47%
gret,adj,-e,70,31.53%
gret,adj%sup,-t,4,66.67%
gret,adj%sup,-e,2,33.33%
gret,adj%comp,-e,1,12.50%
gret,adj%comp,other,7,87.50%
gret,n,-e,3,100.00%
cite,n,-e,37,100.00%
cite,n%pl,other,2,100.00%
amonges,prep,other,29,100.00%
amonges,adv,other,2,100.00%
cristen,adj,-e,2,22.22%
cristen,adj,-en,7,77.78%
jeuerie,n,-e,2,100.00%
sustenen,v%ppl_abs,-ed,1,100.00%
sustenen,v%inf,-e,5,100.00%
of,prep,other,2997,99.80%
of,prep,-d,1,0.03%
of,prep,-e,5,0.17%
of,adv,other,12,100.00%
of,prep#adv,other,2,100.00%
that,art&gram_adj,-t,344,99.42%
that,art&gram_adj,-e,1,0.29%
that,art&gram_adj,other,1,0.29%
that,pron,-t,1699,99.71%
that,pron,other,4,0.23%
that,pron,-en,1,0.06%
that,conj,-t,1119,99.73%
that,conj,other,3,0.27%
that,part,-t,559,99.47%
that,part,-eth,2,0.36%
that,part,other,1,0.18%
contree,n,-e,34,100.00%
for,prep,other,889,99.66%
for,prep,vowel,1,0.11%
for,prep,-ed,1,0.11%
for,prep,-t,1,0.11%
for,conj,other,749,99.73%
for,conj,-e,1,0.13%
for,conj,vowel,1,0.13%
for,prep#adv,other,583,99.83%
for,prep#adv,vowel,1,0.17%
and,conj,-d,6156,99.79%
and,conj,other,5,0.08%
and,conj,-e,3,0.05%
and,conj,vowel,3,0.05%
and,conj,-t,2,0.03%
vileinie,n,-e,24,100.00%
hateful,adj,other,4,100.00%
to,prep,vowel,1023,99.61%
to,prep,-e,2,0.19%
to,prep,other,2,0.19%
to,part,vowel,2160,99.82%
to,part,-e,4,0.18%
to,adv,vowel,64,100.00%
to,n%pl,other,4,100.00%
to,n,vowel,1,100.00%
his,pron%gen,other,2489,99.72%
his,pron%gen,-e,6,0.24%
his,pron%gen,-d,1,0.04%
his,pron%neut_gen,other,1,100.00%
compaignie,n,-e,28,100.00%
thurgh,prep,other,109,100.00%
the,def_art,-e,3875,99.92%
the,def_art,other,2,0.05%
the,def_art,-t,1,0.03%
the,pron%obj,-e,339,100.00%
the,adv,-e,68,100.00%
strete,n,-e,11,100.00%
man,n%pl,-en,267,99.63%
man,n%pl,other,1,0.37%
man,n,other,368,100.00%
man,n%gen,other,36,100.00%
man,n%pl_gen,other,2,100.00%
mouen,v%pt_pl,-e,24,88.89%
mouen,v%pt_pl,-en,3,11.11%
mouen,v%pr_,other,420,93.54%
mouen,v%pr_,-e,4,0.89%
mouen,v%pr_,-t,25,5.57%
mouen,v%pr__pron,other,16,100.00%
mouen,v%pt_,-e,138,93.88%
mouen,v%pt_,-t,9,6.12%
mouen,v%inf,-en,1,100.00%
mouen,v%pr_pl,other,115,91.27%
mouen,v%pr_pl,-en,2,1.59%
mouen,v%pr_pl,-e,9,7.14%
mouen,v%pt__pron,other,1,100.00%
or,conj,other,582,100.00%
wenden,v%inf,-e,20,100.00%
wenden,v%pt_,-e,82,97.62%
wenden,v%pt_,-t,2,2.38%
wenden,v%ppl,-t,9,100.00%
wenden,v%pr_,-t,2,25.00%
wenden,v%pr_,-e,5,62.50%
wenden,v%pr_,-eth,1,12.50%
wenden,v%pt_pl,-t,1,5.88%
wenden,v%pt_pl,-e,10,58.82%
wenden,v%pt_pl,-en,6,35.29%
wenden,v%pr_pl,-e,9,100.00%
hit,pron,-t,1214,99.59%
hit,pron,other,1,0.08%
hit,pron,-e,4,0.33%
ben,v%pt_,other,1181,86.39%
ben,v%pt_,-e,184,13.46%
ben,v%pt_,-ed,1,0.07%
ben,v%pt_,vowel,1,0.07%
ben,v%pt_pl,-e,122,86.52%
ben,v%pt_pl,-en,18,12.77%
ben,v%pt_pl,other,1,0.71%
ben,v%pr_,other,1380,80.61%
ben,v%pr_,-t,47,2.75%
ben,v%pr_,-e,284,16.59%
ben,v%pr_,vowel,1,0.06%
ben,v%inf,-e,435,81.92%
ben,v%inf,-en,96,18.08%
ben,v%imp,-e,35,60.34%
ben,v%imp,-eth,22,37.93%
ben,v%imp,other,1,1.72%
ben,v%ppl,-en,30,65.22%
ben,v%ppl,-e,16,34.78%
ben,v%pr_pl,-en,194,64.24%
ben,v%pr_pl,-e,102,33.77%
ben,v%pr_pl,other,5,1.66%
ben,v%pr_pl,vowel,1,0.33%
ben,v%pt__neg,other,58,86.57%
ben,v%pt__neg,-e,9,13.43%
ben,v%pr__neg,other,78,98.73%
ben,v%pr__neg,-e,1,1.27%
ben,v%pt_pl_neg,-e,1,100.00%
ben,v%pr__pron,other,13,92.86%
ben,v%pr__pron,-e,1,7.14%
ben,v%imp_,-e,1,100.00%
ende,n,-e,53,100.00%
ende,n%pl,other,1,100.00%
litel,adj,other,61,98.39%
litel,adj,-e,1,1.61%
litel,adv,other,22,100.00%
litel,n,other,5,100.00%
folk,n,other,99,99.00%
folk,n,-e,1,1.00%
folk,n%gen,other,4,100.00%
folk,n%pl,other,4,100.00%
stonden,v%pt_,-d,49,100.00%
stonden,v%inf,-e,17,73.91%
stonden,v%inf,-en,6,26.09%
stonden,v%pr_,-eth,8,34.78%
stonden,v%pr_,-t,13,56.52%
stonden,v%pr_,-e,2,8.70%
stonden,v%pr_pl,-e,1,50.00%
stonden,v%pr_pl,-en,1,50.00%
stonden,v%pt_pl,-en,3,75.00%
stonden,v%pt_pl,-e,1,25.00%
stonden,v%imp,-d,4,80.00%
stonden,v%imp,-eth,1,20.00%
at,prep,-t,304,100.00%
in,prep,other,2030,99.85%
in,prep,-t,1,0.05%
in,prep,-e,2,0.10%
in,adv,other,30,100.00%
in,n,other,4,100.00%
in,lat_prep,other,1,100.00%
which,pron,other,475,92.95%
which,pron,-e,36,7.05%
which,gram_adj,other,10,47.62%
which,gram_adj,vowel,1,4.76%
which,gram_adj,-e,10,47.62%
scole,n,-e,2,100.00%
scole,n%pl,other,2,100.00%
yer,n,other,40,86.96%
yer,n,-e,6,13.04%
yer,n%pl,other,9,100.00%
yer,n%gen,other,1,100.00%
bi,prep,other,647,95.29%
bi,prep,-e,30,4.42%
bi,prep,vowel,2,0.29%
bi,adv,other,15,100.00%
bi,conj,other,1,100.00%
swich,gram_adj,other,187,86.18%
swich,gram_adj,-e,30,13.82%
swich,pron,-e,1,50.00%
swich,pron,other,1,50.00%
manere,n#adj,-e,29,43.28%
manere,n#adj,other,38,56.72%
manere,n,-e,69,95.83%
manere,n,other,3,4.17%
as,conj,other,1426,98.14%
as,conj,vowel,26,1.79%
as,conj,-d,1,0.07%
usen,v%pt_pl,-ed,2,66.67%
usen,v%pt_pl,-en,1,33.33%
usen,v%inf,-e,2,50.00%
usen,v%inf,-en,2,50.00%
usen,v%ppl,-ed,3,100.00%
usen,v%pr_pl,-en,2,100.00%
usen,v%pr_,-eth,2,100.00%
usen,v%pt_,-ed,3,100.00%
usen,v%prp_abs,-e,1,100.00%
seien,v%inf,other,115,42.28%
seien,v%inf,-e,155,56.99%
seien,v%inf,-en,2,0.74%
seien,v%pt_,-e,354,99.16%
seien,v%pt_,vowel,1,0.28%
seien,v%pt_,-t,2,0.56%
seien,v%pr_,-e,49,35.25%
seien,v%pr_,other,75,53.96%
seien,v%pr_,-t,15,10.79%
seien,v%pt_pl,-e,13,43.33%
seien,v%pt_pl,-en,16,53.33%
seien,v%pt_pl,vowel,1,3.33%
seien,v%ppl,-d,45,100.00%
seien,v%pr_pl,other,39,81.25%
seien,v%pr_pl,-e,8,16.67%
seien,v%pr_pl,-en,1,2.08%
seien,v%imp,other,18,94.74%
seien,v%imp,-eth,1,5.26%
seien,v%pr__pron,other,8,88.89%
seien,v%pr__pron,vowel,1,11.11%
seien,v%pt__pron,other,3,100.00%
reden,v%inf,-e,23,88.46%
reden,v%inf,-en,3,11.54%
reden,v%pr_pl,-e,8,88.89%
reden,v%pr_pl,-en,1,11.11%
reden,v%pr_,-t,2,8.70%
reden,v%pr_,-e,20,86.96%
reden,v%pr_,-eth,1,4.35%
reden,v%pt_pl,-en,1,100.00%
reden,v%imp,-e,1,16.67%
reden,v%imp,-eth,2,33.33%
reden,v%imp,-ed,3,50.00%
reden,v%ppl,-ed,5,62.50%
reden,v%ppl,-d,3,37.50%
reden,v%pt_,-e,3,100.00%
smal,adj,-e,33,71.74%
smal,adj,other,13,28.26%
child,n%pl,-en,25,100.00%
child,n,-d,33,89.19%
child,n,-e,4,10.81%
child,n%gen,other,1,100.00%
here,pron%pl_gen,-e,124,33.79%
here,pron%pl_gen,other,243,66.21%
here,n,-e,1,100.00%
here,n#adj,-e,1,100.00%
childhod,n,-e,1,100.00%
these,gram_adj%pl,-e,163,98.19%
these,gram_adj%pl,other,3,1.81%
these,pron%pl,-e,5,100.00%
widwe,n%gen,other,6,100.00%
widwe,n,-e,6,100.00%
widwe,n%pl,other,1,100.00%
sone,n,-e,34,100.00%
sone,adv,-e,65,100.00%
sone,n%pl,other,4,100.00%
sone,adv%comp,other,1,100.00%
clergeoun,n,other,1,100.00%
seven,num_adj,-en,7,53.85%
seven,num_adj,-e,6,46.15%
seven,num_n,-e,3,75.00%
seven,num_n,-en,1,25.00%
age,n,-e,33,100.00%
dai,n,other,295,100.00%
dai,n%gen,other,7,100.00%
dai,n%pl,other,19,100.00%
wone,n,-e,5,100.00%
crist,n#propn%gen,other,27,100.00%
crist,n#propn,-t,19,90.48%
crist,n#propn,-e,1,4.76%
crist,n#propn,other,1,4.76%
haven,v%pt_,-e,271,72.65%
haven,v%pt_,-d,97,26.01%
haven,v%pt_,-t,5,1.34%
haven,v%pr_,other,323,55.88%
haven,v%pr_,-e,202,34.95%
haven,v%pr_,-t,53,9.17%
haven,v%pr_pl,other,171,79.91%
haven,v%pr_pl,-e,42,19.63%
haven,v%pr_pl,-d,1,0.47%
haven,v%inf,-e,114,49.35%
haven,v%inf,other,117,50.65%
haven,v%imp,-e,39,100.00%
haven,v%ppl,-d,13,100.00%
haven,v%pr__neg,other,2,100.00%
haven,v%pt_pl,-en,7,15.91%
haven,v%pt_pl,-e,28,63.64%
haven,v%pt_pl,-d,9,20.45%
haven,v%pr__pron,other,24,96.00%
haven,v%pr__pron,vowel,1,4.00%
haven,v%pt__neg,other,1,100.00%
haven,v%pt__pron,other,1,100.00%
usage,n,-e,8,100.00%
usage,n%pl,other,1,100.00%
him,pron%obj,other,997,99.40%
him,pron%obj,-e,4,0.40%
him,pron%obj,-t,1,0.10%
him,pron%obj,-ed,1,0.10%
him,pron_adj,other,3,100.00%
techen,v%ppl,-t,7,100.00%
techen,v%pt_,-e,10,100.00%
