infinitive,headword,preterite,past_participle,classification,notes
abiden,abiden,"abood(5), abod(2), abode(1)",abiden(2),strong,known
agrisen,agrisen,agroos(2),,strong,classified by morphological evidence
arisen,arisen,"aros(3), aroos(2)",arisen(2),strong,known strong verb
awaken,awaken,awook(5),,strong,known strong verb
awreken,awrek,,awroken(2),strong,Wreken is strong
beden,beden,,bode(2),strong,known strong verb
ben,ben,"was(3734), were(644), wer(18)","been(77), ben(67), be(24)",irregular,Known irregular
bicomen,bicomen,"becam(2), bicom(2), bicam(2)","become(2), bicome(2), bicomen(2)",strong,Comen is strong
bidden,bidden,"bad(2), badde(1), bade(1)",bede(2),strong,known strong verb
biden,biden,bood(2),,strong,known
bifallen,bifallen,"bifel(52), befel(2), byfel(2), bifelle(2), bifil(2), befill(1), befil(1)","bifalle(1), byfalle(1)",strong,Fallen is strong
biginnen,biginnen,"bigan(50), began(9), bygan(3), bigonne(2), bygonne(1)","bigonne(5), bigon(1)",strong,known strong verb
biholden,biholden,"beheld(5), biheld(4), byheld(1), behelde(1), biheeld(1)",,strong,known strong verb
binden,binden,"bond(4), boond(3)","bounden(9), ybounden(3), ybounde(2), ibounden(1)",strong,known strong verb
biquethen,biqueth,,biquethe(1),strong,known strong verb
biyeten,biyet,,bigeten(2),weak,Program failed here
breken,breken,brak(1),"broken(8), broke(4)",strong,known strong verb
bresten,bresten,"brast(8), braste(3)",brosten(4),strong,known strong verb
chesen,chesen,"chees(11), ches(3)","chosen(10), chose(2)",strong,known strong verb
climben,climben,"clomb(2), clamb(2)","clomben(4), cloumbe(1)",strong,known strong verb
comen,comen,"com(89), come(15), cam(8), came(2)","come(70), comen(39), ycomen(7), ycome(4), com(3), icomen(2)",strong,known strong verb
crepen,crepen,"creep(4), crepte(1)",cropen(5),strong,known strong verb
crouen,crouen,crew(4),crowe(2),strong,known strong verb
delven,delven,,dolven(2),strong,known strong verb
drauen,drauen,"drow(11), drough(8), drew(1)","drawe(3), ydrawe(2), ydrawen(1), draw(1)",strong,Known strong verb (from skeat but not wiki)
drinken,drinken,"drank(22), dronk(2)","dronken(11), dronke(4)",strong,known strong verb
driven,driven,"droof(8), drof(4)","driven(5), drive(3), dryve(3), dryven(2)",strong,known strong verb
eten,eten,"eet(12), et(1)",eten(5),strong,known strong verb
fallen,fallen,"fel(18), fille(7), fil(2), felle(1), fill(1)","falle(12), fallen(9), yfallen(2)",strong,known strong verb
faren,faren,"ferde(22), ferd(4)","faren(6), ferd(4), fare(2)",strong,known strong verb
fighten,fighten,faught(10),foughten(2),strong,known strong verb
finden,finden,"fond(67), foond(22), found(6), fonde(2), founde(2)","founde(34), founden(17), fond(2), found(2), fonden(1)",strong,known strong verb
flien,flien,"fleigh(4), fley(2), flygh(1), flough(1), flaugh(1)",flowen(2),strong,known strong verb
forsaken,forsaken,"forsook(8), forsok(1)",forsaken(2),strong,Known from skeat
forshapen,forshap,,forshapen(2),strong,Shapen is strong
forsweren,forswer,forswor(2),,strong,known strong verb
foryeten,foryeten,"forgat(13), forgate(1), foryat(1)","foryeten(6), forgeten(5), forgete(1)",strong,known strong verb
foryeven,foryeven,foryaf(5),foryeven(2),strong,Known strong verb
ginnen,ginnen,"gan(198), gonne(1)",,Irregular / unclear,"Very stumped here, seems maybe irregular"
gnauen,gnauen,gnow(1),,strong,Known strong verb
gon,gon,,"goon(26), gon(8), go(5), gane(1), geen(1), goo(1)",Irregular verb,Known irregular
grouen,grouen,"grew(2), growed(2)","growe(2), growen(2), ygrowen(2)",strong,known strong verb
helpen,helpen,"heelp(4), halp(1)","holpen(14), holpe(2)",strong,known strong verb
heten,het,"het(1), hette(1)",,strong,known
heven,heven,haaf(1),,weak,Program failed due to spelling difference
hongen,hongen,"heng(6), heeng(5), henge(2)",hanged(8),strong,known strong verb
iben,ib,,"ybeen(3), iben(1)",strong,classified by morphological evidence
ifinden,ifinden,,"yfounde(3), founde(1)",strong,classified by morphological evidence
holden,hold,,"yholde(2), holden(1), yholden(1)",strong,known strong verb
iknouen,iknouen,,"yknowen(8), yknowe(2)",strong,known strong verb
irennen,irenn,,yronnen(2),strong,classified by morphological evidence
ishapen,ishap,,yshapen(6),strong,classified by morphological evidence
isouen,isou,,ysowen(2),strong,classified by morphological evidence
ispeken,ispek,,"yspoken(2), yspoke(2)",strong,classified by morphological evidence
itaken,itak,,ytaken(1),strong,classified by morphological evidence
iwinnen,iwinn,,ywonne(4),strong,known strong verb
kerven,kerven,"carf(6), karf(1)","corven(4), korven(2)",strong,known strong verb
knouen,knouen,"knew(148), knewe(12)","knowen(20), knowe(5), know(1)",strong,known strong verb
laughen,laughen,lough(15),lawghed(1),strong,known strong verb
leten,leten,"leet(60), let(8), lete(1)","lete(3), leten(1), lat(1)",strong,known strong verb
melten,melten,malt(4),molte(6),strong,known strong verb
misbeden,misbed,,"misboden(1), mysboden(1)",strong,classified by morphological evidence
oversheten,overshet,,"overshette(1), overshote(1)",strong,classified by morphological evidence
pleiten,pleiten,plited(2),,weak,"Program failed here, pretty sure its weak not irregular"
portraien,portrai,"purtreied(1), purtreyed(1)",,weak,"Program failed here, pretty sure its weak not irregular"
quaken,quaken,quook(10),,strong,known strong verb
quethen,queth,quod(1247),,strong,known strong verb
riden,riden,rood(36),riden(12),strong,known strong verb
risen,risen,"roos(32), ros(2)","risen(7), rysen(1)",strong,known strong verb
shaken,shaken,shook(4),,strong,known strong verb
shapen,shapen,"shoop(27), shop(5)","shapen(23), shape(6), shapyn(1)",strong,known strong verb
shaven,shaven,,shave(4),strong,known strong verb
shinen,shinen,"shoon(13), shon(2)",,strong,known strong verb
shriven,shriv,,"shriven(1), shryven(1)",strong,known strong verb
singen,singen,"song(22), sang(11), soong(3), songe(2)","songen(4), songe(2)",strong,known strong verb
sinken,sinken,,sonken(4),strong,classified by morphological evidence
slen,slen,"slow(46), slough(15), slowh(1)","slayn(43), slain(33), yslain(3), yslayn(3), slawen(2), sleyn(2), slaine(1), slayne(1), slawe(1)",strong,known strong verb
slepen,slepen,"sleep(11), slepte(5), slep(3), slept(1), slepe(1)",,strong,known strong verb
smiten,smiten,"smoot(24), smot(4)",smyten(1),strong,known strong verb
souken,souken,,souked(2),strong,known strong verb
speken,speken,"spak(2), spake(2)","spoken(14), spoke(6)",strong,known strong verb
springen,springen,"sprong(2), sprang(1), sproong(1)",spronge(2),strong,known strong verb
stelen,stelen,"stal(5), stale(2), staal(2), staale(1)","stole(6), stoln(4)",strong,known strong verb
steppen,stepp,,stapen(2),strong,known strong verb
sterven,sterven,starf(12),,strong,known strong verb
stingen,stingen,,stongen(2),strong,Known strong vebr
strepen,strepen,,strepen(2),strong,"Not in lists, but seems strong"
striven,striven,"stroof(2), strof(2)",,strong,known strong verb
swellen,swellen,swal(2),,strong,known strong verb
swelten,swelten,swelte(4),,strong,known strong verb
sweren,sweren,"swore(2), swoor(1), swor(1), swer(1)","sworn(11), ysworn(2), yswore(1)",strong,known strong verb
swinken,swinken,,swonken(2),strong,known strong verb
taken,taken,"tok(24), toke(5), tooke(5), took(1), i(1)","taken(18), take(15)",strong,known strong verb
tobresten,tobresten,,tobrosten(2),strong,"This not in lists, but seems strong + atbresten is in lists"
toheuen,toheu,,tohewen(2),strong,"this not in lists, but seems strong + hewen in lists"
treden,tred,trad(1),troden(2),strong,known strong verb
understonden,understonden,"understood(6), understod(1)",understonde(5),strong,known strong verb
undon,undon,undide(2),,strong / irregular,"Don is generally irregular, but this form seems strong"
unknouen,unknou,,"unknowen(5), unknowe(2)",strong,Not in lists but knowen is strong
waken,waken,"wook(8), wok(1)",waked(2),strong,known strong verb
washen,wash,wessh(2),wasshen(2),strong,known strong verb
weilen,weilen,"wayled(2), wailed(1)",,strong,"Wallen in list, I think this is same"
wepen,wepen,"weep(28), wepte(11), wep(3), wept(2), weepe(1)","wopen(4), wept(4), wepen(2)",strong,known strong verb
winnen,winnen,"wan(25), wanne(1)","wonne(11), wonnen(6)",strong,known strong verb
wreken,wreken,wrak(2),ywroke(2),strong,known strong verb
wringen,wringen,wrong(6),,strong,known strong verb
writen,writen,"wrot(9), wroot(2)","writen(25), ywriten(7), write(4), written(2), iwriten(2), ywrite(2)",strong,known strong verb
yelden,yelden,,"yolden(3), yolde(1)",strong,Seems strong even though not in list
yeven,yeven,"yaf(122), gaf(3)","yeven(27), yeve(14), yive(3), yyeven(1)",strong,known strong verb
abien,abien,aboughte(2),aboght(2),weak,not in list
agonen,agon,,ago(1),weak,not in list
aspien,aspien,"aspied(4), espyed(2), aspyed(1), aspyede(1)","espyed(3), espied(2), aspied(1)",weak,not in list
bien,bien,"boghte(4), bought(1)","boght(4), bought(2), yboght(1)",weak,not in list
bigonen,bigon,,"bigon(1), bygon(1)",strong / irregular,"Gon is generally irregular, but this form seems strong"
bilden,bilden,"bulte(2), bilt(2)",,weak,not in list
bireven,bireven,"birafte(7), berafte(2), biraft(2), byraft(1)","biraft(4), bireved(2)",weak,not in list
birien,birien,"buried(1), buryed(1)","yburied(2), iburied(1), yburyed(1)",weak,not in list
bisechen,bisechen,"bisoughte(5), bysoughte(1)",,weak,not in list
bisen,bis,,"besein(1), biseyn(1)",strong,Seems strong even though not in list
bisetten,bisetten,besette(1),"biset(8), beset(4), byset(2)",weak,not in list
bitaken,bitak,bitook(2),,strong,Taken is strong
bithinken,bithinken,"bethoghte(3), bythought(1), bithoughte(1)",,weak,not in list
bitiden,bitiden,bitidde(1),"bitid(4), betyd(4), betid(3), bitidde(1), bityd(1)",weak,not in list
breuen,breu,brew(1),,strong,known
bringen,bringen,"broghte(36), broughte(8), broght(3), brought(3)","broght(31), brought(21), ybrought(1), ybroght(1)",weak,not in list
casten,casten,"caste(58), cast(4)","cast(5), casten(2), ycast(2)",weak,not in list
connen,connen,"koude(175), coude(142), coud(14), kouth(3), couthe(3), couth(3), kouthe(3), koud(2), kowde(2)","ykoude(1), coud(1), ykoud(1), koud(1)",irregular,Known irregular
crien,crien,"cride(21), cried(11), cryde(5), cryed(1), criede(1)","cried(6), cryd(2)",weak,Not in s.e.e. list
dien,dien,"deide(7), deyde(6), died(5), dyde(3), deyede(2), deied(2), deid(1), dyed(1)",dyed(1),weak,not in list
dreden,dreden,"dredde(6), dradde(1), dred(1)",,weak,not in list
drenchen,drenchen,"dreint(1), dreinte(1)","dreynt(5), dreint(2), dreinte(1), dreynte(1), drent(1)",weak,not in list
durren,durren,"dorste(41), durste(10), dorst(4), durst(1)",,weak,not in list
dwellen,dwellen,"dwelte(12), dwelled(9), duelled(1)","dwelt(4), dwelled(4)",weak,not in list
forbeden,forbeden,forbad(4),forbode(2),weak,not in list
forberen,forberen,forbar(3),,strong,known
fordon,fordon,,"fordoon(2), fordon(1)",strong / irregular,"Don is generally irregular, but this form seems strong"
forgon,forgon,,forgon(2),strong,not in list
haven,haven,"hadde(740), had(407)","had(48), hadde(1)",weak,not in list
heren,heren,"herde(137), herd(11)","herd(135), herde(3)",weak,not in list
hiden,hiden,"hidde(9), hydde(1)","hid(11), yhid(2), hyd(1)",weak,not in list
imaginen,imaginen,"ymagened(1), imagined(1)",,weak,not in list
iwerken,iwerk,,"ywroght(3), ywrought(2), iwrought(2), ywroghte(1)",weak,not in list
kissen,kissen,kiste(28),"kist(4), kiste(1)",weak,Decided 
misforyeven,misforyev,mysforyaf(1),,weak,not in list
misspeken,misspek,"misspak(1), mysspak(1)",,strong,"Speken is strong, so I think this is too"
overtaken,overtak,"overtoke(1), overtok(1)",,strong,Taken is strong
performen,performen,parfourned(2),parfourned(8),weak,Definitely weak — the root vowel stays same just varied spelling
preven,preven,proved(1),"preved(13), preeved(4), ypreved(2)",weak,not in list
priken,prik,"pryked(1), priked(1)",,weak,Clearly weak
reven,reven,"refte(8), rafte(6), raft(1), reft(1)","reft(3), raft(2)",strong,In list as riven
sechen,sechen,"soughte(4), soghte(1)",soght(2),weak,Not in lists
shitten,shitten,"shet(1), shette(1)","shet(4), shette(1)",weak,Not in lists
shouven,shouv,"shof(3), shoof(1)",,weak,"Although strong in early middle gnlish, seems weak here"
sitten,sitten,"satte(3), sat(2), sate(2), set(1), sete(1)",seten(4),strong,In lists
smilen,smilen,"smyled(1), smiled(1)",,weak,Not in lists
speden,speden,spedde(6),"sped(3), spedde(2)",weak,No evidence dn not in lists
spreden,spreden,spradde(2),sprad(2),weak,Not in lists
sterten,sterten,"stirte(18), sterte(8), stirt(1), stert(1)","stert(2), stirt(2)",weak,not in lists
stinken,stink,stank(2),,strong,In lists
stinten,stinten,"stynte(5), stinte(3), stente(1)","stint(1), stynt(1), stinted(1), stynted(1)",weak,Not in lists
surmounten,surmount,,"surmountede(1), surmounted(1)",weak,Def weak
swiven,swiven,"swyved(1), swived(1)","swyved(3), swived(2)",weak,Y is spelling variation
techen,techen,"taughte(2), taught(1)",taught(13),weak,Not in lists
tellen,tellen,"tolde(109), told(7), toolde(1), toold(1)","told(65), toold(21), tald(2), tolde(1)",weak,Not in lists
thanken,thanken,"thonked(11), thanked(11)","thanked(18), thonked(4), ythonked(3), ythanked(2)",weak,O is spelling variation
turnen,turnen,"torned(7), turned(4), tornede(2), turnede(1)","turned(22), torned(5), yturned(1), tourned(1)",weak,Certainly weak
werken,werken,"wroghte(16), wroughte(2)","wroght(16), wrought(7), wroughte(1)",weak,Never appears in inf I think
willen,willen,"wolde(53), wold(2)",,irregular,Known irregular
wipen,wipen,"wiped(3), wyped(1)",,weak,Y is spelling variation
abaishen,abaish,,"abaist(2), abayst(2), abasht(1)",weak,classified by morphological evidence
accepten,accept,,accepted(2),weak,classified by morphological evidence
accorden,accorden,"acorded(3), accorded(1)","acorded(13), accorded(5)",weak,classified by morphological evidence
accounten,account,acounted(2),,weak,classified by morphological evidence
acheven,achev,acheved(2),acheved(2),weak,classified by morphological evidence
acursen,acursen,,"acursed(3), acorsed(2)",weak,classified by morphological evidence
adden,add,added(2),,weak,classified by morphological evidence
adouren,adour,,adoured(1),weak,classified by morphological evidence
adreden,adred,,"adrad(6), adred(2)",weak,classified by morphological evidence
agasten,agasten,,agast(36),weak,classified by morphological evidence
agilten,agilt,"agilte(2), agylte(2)",agilt(1),weak,classified by morphological evidence
agreven,agrev,,agreved(2),weak,classified by morphological evidence
alteren,alter,altered(2),,weak,classified by morphological evidence
amenden,amenden,amended(1),amended(8),weak,classified by morphological evidence
anhongen,anhongen,,"anhanged(6), anhonged(2)",weak,classified by morphological evidence
annexen,annex,,annexed(4),weak,classified by morphological evidence
answeren,answeren,"answerde(155), answerd(8), answered(7), answerede(4)","answered(2), answerd(1)",weak,classified by morphological evidence
apallen,apall,,"apalled(2), appalled(2)",weak,classified by morphological evidence
apiken,apik,,apiked(2),weak,classified by morphological evidence
appointen,appoint,"apointed(1), apoynted(1)","apointed(1), apoynted(1)",weak,classified by morphological evidence
apposen,appos,apposed(2),,weak,classified by morphological evidence
aqueinten,aqueinten,,"aqueinted(1), aqueynted(1)",weak,classified by morphological evidence
aretten,arett,,"aretted(1), arretted(1)",weak,classified by morphological evidence
arguen,arguen,argued(2),,weak,classified by morphological evidence
argumenten,argument,argumented(2),,weak,classified by morphological evidence
ariven,ariven,,"arrived(1), arryved(1), arived(1), aryved(1)",weak,classified by morphological evidence
armen,armen,,armed(7),weak,classified by morphological evidence
arraien,arraien,arrayed(2),"arrayed(11), arayed(3), araied(1)",weak,classified by morphological evidence
asken,asken,"axed(14), asked(10), axede(1)",axed(4),weak,classified by morphological evidence
aslaken,aslaken,,aslaked(2),weak,classified by morphological evidence
assaien,assaien,,"assayed(11), assaied(1)",weak,classified by morphological evidence
assaillen,assaill,,"assailled(4), assailed(1), assayled(1)",weak,classified by morphological evidence
assegen,asseg,,asseged(2),weak,classified by morphological evidence
assenten,assenten,,assented(6),weak,classified by morphological evidence
assuren,assuren,assured(2),assured(6),weak,classified by morphological evidence
asterten,asterten,,astert(2),weak,classified by morphological evidence
astonen,aston,"astoned(1), astonyed(1)",,weak,classified by morphological evidence
astoren,astor,,astored(2),weak,classified by morphological evidence
auntren,auntren,auntred(2),,weak,classified by morphological evidence
avisen,avisen,,"avised(7), avysed(7)",weak,classified by morphological evidence
banishen,banish,,"banished(1), banysshed(1)",weak,classified by morphological evidence
bathen,bathen,bathed(3),"bathed(3), ybathed(2)",weak,classified by morphological evidence
bekken,bekk,bekked(2),,weak,classified by morphological evidence
bibben,bibb,,bibbed(2),weak,classified by morphological evidence
bigilen,bigilen,,"bigiled(7), bigyled(1)",weak,classified by morphological evidence
bijapen,bijap,,"bijaped(4), byjaped(4)",weak,classified by morphological evidence
bisegen,biseg,,biseged(6),weak,classified by morphological evidence
bishetten,bishett,,bishet(2),weak,classified by morphological evidence
bisien,bisien,"bisied(1), bisyed(1)",,weak,classified by morphological evidence
bistouen,bistouen,,bistowed(6),weak,classified by morphological evidence
bitraien,bitrai,betrayed(4),bitrayed(2),weak,classified by morphological evidence
bitraishen,bitraish,"betraised(1), betraysed(1)","bitraised(2), bitraysed(1)",weak,classified by morphological evidence
biwailen,biwailen,"bewailed(1), bewayled(1)",biwailled(2),weak,classified by morphological evidence
biwreien,biwreien,biwreyed(2),,weak,classified by morphological evidence
blamen,blamen,blamed(2),blamed(1),weak,classified by morphological evidence
blasfemen,blasfem,,blasphemed(2),weak,classified by morphological evidence
blenchen,blench,"bleinte(2), bleynte(2)",,weak,classified by morphological evidence
blessen,blessen,blessed(2),"blessed(13), yblessed(4), blissed(2)",weak,classified by morphological evidence
borwen,borwen,borwed(2),borwed(2),weak,classified by morphological evidence
brennen,brennen,"brende(12), brente(8)","brent(11), ybrend(4), ybrent(2), brend(1)",weak,classified by morphological evidence
bridelen,bridel,"bridled(1), bridlede(1)",,weak,classified by morphological evidence
cacchen,cacchen,"caughte(30), caught(2), kaughte(1)","caught(40), kaught(7), ykaught(1)",weak,classified by morphological evidence
calculen,calcul,"calculed(1), kalkuled(1)",,weak,classified by morphological evidence
callen,callen,called(12),"called(26), ycalled(2)",weak,classified by morphological evidence
capen,capen,caped(1),,weak,classified by morphological evidence
carien,carien,,"caried(6), ycaried(3), ycaryed(1)",weak,classified by morphological evidence
cesen,cesen,cessed(6),cessed(2),weak,classified by morphological evidence
chacen,chacen,,chaced(2),weak,classified by morphological evidence
chargen,charg,charged(4),charged(6),weak,classified by morphological evidence
chasten,chast,,chasted(2),weak,classified by morphological evidence
chaungen,chaungen,"chaunged(10), changed(2)","chaunged(15), changed(2), ychaunged(2)",weak,classified by morphological evidence
chiden,chiden,chidde(4),,weak,classified by morphological evidence
clappen,clapp,"clapte(5), clapt(1)",,weak,classified by morphological evidence
clauen,clauen,clew(2),yclawed(2),weak,classified by morphological evidence
clepen,clepen,cleped(6),"cleped(38), ycleped(14), clepid(4), icleped(1)",weak,classified by morphological evidence
clothen,clothen,cladde(4),"clothed(14), clad(10), yclad(4), yclothed(2)",weak,classified by morphological evidence
colouren,colour,,coloured(2),weak,classified by morphological evidence
comforten,comforten,,"conforted(2), comforted(1)",weak,classified by morphological evidence
commaunden,commaunden,"comanded(12), comaunded(2)","comanded(8), comaunded(2)",weak,classified by morphological evidence
commenden,commenden,,commended(2),weak,classified by morphological evidence
compleinen,compleinen,"compleyned(2), compleined(1)","compleined(1), compleyned(1)",weak,classified by morphological evidence
completen,complet,,"complet(1), compleet(1)",weak,classified by morphological evidence
conceiven,conceiv,,"conceyved(3), conceived(1)",weak,classified by morphological evidence
concluden,concluden,,concluded(2),weak,classified by morphological evidence
confermen,confermen,,confermed(2),weak,classified by morphological evidence
confounden,confounden,,confounded(2),weak,classified by morphological evidence
conqueren,conquer,conquered(4),,weak,classified by morphological evidence
conserven,conserven,,conserved(3),weak,classified by morphological evidence
consideren,consider,considered(3),considered(10),weak,classified by morphological evidence
constreinen,constreinen,,"constreined(3), constreyned(3)",weak,classified by morphological evidence
consumen,consumen,,consumed(1),weak,classified by morphological evidence
contrarien,contrarien,contraried(2),,weak,classified by morphological evidence
conveien,convei,"conveyed(3), conveied(1)",,weak,classified by morphological evidence
converten,converten,converted(2),converted(4),weak,classified by morphological evidence
correcten,correcten,,corrected(4),weak,classified by morphological evidence
corrupten,corrupt,,corrupt(2),weak,classified by morphological evidence
costen,costen,"coste(7), cost(1)",,weak,classified by morphological evidence
couchen,couchen,"couched(4), couchede(1)",couched(6),weak,classified by morphological evidence
counseilen,counseilen,"counseilled(1), counseylled(1)",,weak,classified by morphological evidence
counten,count,counted(2),,weak,classified by morphological evidence
countrefeten,countrefeten,countrefeted(2),,weak,classified by morphological evidence
couplen,coupl,,coupled(1),weak,classified by morphological evidence
creauncen,creauncen,,"creaunced(1), creanced(1)",weak,classified by morphological evidence
cristnen,cristn,"cristned(3), cristened(1)",,weak,classified by morphological evidence
dampnen,dampn,dampned(3),dampned(17),weak,classified by morphological evidence
daswen,dasw,,daswed(2),weak,classified by morphological evidence
dauncen,dauncen,daunced(6),,weak,classified by morphological evidence
daunten,daunt,daunted(1),daunted(1),weak,classified by morphological evidence
deceiven,deceiven,,"deceyved(6), deceived(4)",weak,classified by morphological evidence
declaren,declaren,declared(2),declared(2),weak,classified by morphological evidence
defacen,defacen,,defaced(2),weak,classified by morphological evidence
defenden,defenden,defended(1),,weak,classified by morphological evidence
defoulen,defoulen,,defouled(9),weak,classified by morphological evidence
deien,dei,dyed(2),"diyd(1), dyed(1)",weak,classified by morphological evidence
delen,delen,,deled(2),weak,classified by morphological evidence
deliberen,deliberen,,delibered(2),weak,classified by morphological evidence
deliten,deliten,delited(2),,weak,classified by morphological evidence
deliveren,deliveren,"delivered(1), delyvered(1)",delivered(2),weak,classified by morphological evidence
demen,demen,"demed(9), demede(1)",demed(2),weak,classified by morphological evidence
departen,departen,departed(2),departed(21),weak,classified by morphological evidence
depeinten,depeint,,"depeynted(6), depeinted(5)",weak,classified by morphological evidence
deriven,deriv,,"derived(1), dirryved(1)",weak,classified by morphological evidence
descenden,descenden,descended(2),descended(5),weak,classified by morphological evidence
descriven,descriven,,"discrived(1), discryved(1)",weak,classified by morphological evidence
deserven,deserven,,"deserved(8), disserved(1)",weak,classified by morphological evidence
desiren,desiren,desired(4),desired(1),weak,classified by morphological evidence
despeiren,despeir,,"despeired(5), dispeired(1), despeyred(1)",weak,classified by morphological evidence
destroien,destroien,destroyed(4),"destroyed(10), destroied(2)",weak,classified by morphological evidence
dighten,dighten,,"ydight(2), dight(2)",weak,classified by morphological evidence
discoveren,discoveren,,discovered(2),weak,classified by morphological evidence
discussen,discuss,,discussed(2),weak,classified by morphological evidence
disfiguren,disfiguren,,disfigured(2),weak,classified by morphological evidence
disgisen,disgis,,disgised(2),weak,classified by morphological evidence
disparagen,disparagen,,disparaged(2),weak,classified by morphological evidence
dispenden,dispenden,,despended(2),weak,classified by morphological evidence
displesen,displesen,,displesed(3),weak,classified by morphological evidence
disposen,dispos,disposed(2),disposed(6),weak,classified by morphological evidence
disputen,disputen,disputed(2),,weak,classified by morphological evidence
distourben,distourben,,destourbed(1),weak,classified by morphological evidence
distroublen,distroubl,,destroubled(2),weak,classified by morphological evidence
dividen,dividen,,"divided(1), dyvyded(1)",weak,classified by morphological evidence
dokken,dokk,,dokked(2),weak,classified by morphological evidence
drecchen,drecchen,,drecched(2),weak,classified by morphological evidence
