OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
A thousand tymes have I herd men telle,¶A thousand times have I herd men telle,data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 1,,9,10,A thousand tymes have I herd men telle,A thousand times have I herd men telle,S uS u Sx u S u Sx,u Su Su Sx u S u Sx,a@indef_art thousand@num_adj time@n%pl haven@v%pr_1 ich@pron%nom heren@v%ppl man@n%pl tellen@v%inf,a@indef_art thousand@num_adj time@n%pl haven@v%pr_1 ich@pron%nom heren@v%ppl man@n%pl tellen@v%inf,
That ther ys joy in hevene and peyne in helle,"That ther is joye in hevene, and peine in helle;",data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 2,,10,10,That ther ys joy in hevene and peyne in helle,That ther is joye in hevene and peine in helle,u S  u S uSx u Sx u Sx,u S u Sx u Sxx u Sx u Sx,that@conj ther@adv ben@v%pr_3 joie@n in@prep heven@n and@conj peine@n in@prep helle@n,that@conj ther@adv ben@v%pr_3 joie@n in@prep heven@n and@conj peine@n in@prep helle@n,
And I acorde wel that it ys so;,And I acorde° wel that it is so;,data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 3,,0,10,And I acorde wel that it ys so,And I acorde wel that it is so,       ,u S uSu S u S u S,and@conj ich@pron%nom accorden@v%pr_1 wel@adv that@conj hit@pron ben@v%pr_3 so@adv,and@conj ich@pron%nom accorden@v%pr_1 wel@adv that@conj hit@pron ben@v%pr_3 so@adv,
"But, natheles, yet wot I wel also","But natheles,° yet wot° I wel also",data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 4,,10,10,But natheles yet wot I wel also,But natheles yet wot I wel also,u SuS u S u S uS,u SuS u S u S uS,but@conj no-the-lesse@adv yet@adv witen@v1%pr_1 ich@pron%nom wel@adv also@adv,but@conj no-the-lesse@adv yet@adv witen@v1%pr_1 ich@pron%nom wel@adv also@adv,
That ther nis noon dwellyng in this contree,That ther nis noon° dwelling in this contree,data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 5,,9,10,That ther nis noon dwellyng in this contree,That ther nis noon dwelling in this contree,S u S u S u S uS,u S u S uS u S uS,that@conj ther@adv ben@v%pr_3_neg non@pron dwellen@v%prp in@prep this@gram_adj contree@n,that@conj ther@adv ben@v%pr_3_neg non@pron dwellen@v%prp in@prep this@gram_adj contree@n,
That eyther hath in hevene or helle ybe,"That either hath in hevene or helle ybe,°",data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 6,,10,10,That eyther hath in hevene or helle ybe,That either hath in hevene or helle ybe,u Su S u Sux S ux S,u Su S u Sux S ux S,that@pron either@conj haven@v%pr_3 in@prep heven@n or@conj helle@n iben@v%ppl,that@pron either@conj haven@v%pr_3 in@prep heven@n or@conj helle@n iben@v%ppl,
Ne may of hit noon other weyes witen,"Ne may of it non other weyes witen,°",data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 7,,11,11,Ne may of hit noon other weyes witen,Ne may of it non other weyes witen,u S u S u Su Su Su,u S u S u Su Su Su,ne@conj1 mouen@v3%pr_3 of@prep hit@pron non@gram_adj other@gram_adj wei@n%pl witen@v1%inf,ne@conj1 mouen@v3%pr_3 of@prep hit@pron non@gram_adj other@gram_adj wei@n%pl witen@v1%inf,
But as he hath herd seyd or founde it writen;,"But as he hath herd seide, or founde it writen;",data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 8,,11,11,But as he hath herd seyd or founde it writen,But as he hath herd seide or founde it writen,u S u S u S u Su S ux,u S u S u Su S ux S ux,but@conj as@conj he@pron1%nom haven@v%pr_3 heren@v%ppl seien@v1%ppl or@conj finden@v%ppl hit@pron writen@v%ppl_abs,but@conj as@conj he@pron1%nom haven@v%pr_3 heren@v%ppl seien@v1%ppl or@conj finden@v%ppl hit@pron writen@v%ppl_abs,
For by assay ther may no man it preve.,For by assay° ther may no man it preve.°,data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 9,,9,9,For by assay ther may no man it preve,For by assay ther may no man it preve,S  uS u S u S u Sx,S  uS u S u S u Sx,for@conj bi@prep assai@n ther@adv mouen@v3%pr_3 no@gram_adj man@n hit@pron preven@v%inf,for@conj bi@prep assai@n ther@adv mouen@v3%pr_3 no@gram_adj man@n hit@pron preven@v%inf,
But God forbede but men shulde leve,But God forbede but men shoulde leve°,data/riverside_cats/LGW_FPro_riv.cat,data/oxford_txts/LGW_FPro_oxford.txt,data/csvs/LGW_FPro,The Legend of Good Women; Prologue F 10,,10,10,But God forbede but men shulde leve,But God forbede but men shoulde leve,u S uSu S u Su Sx,u S uSu S u Su Sx,but@conj god@n1#propn forbeden@v%pr_3 but@conj man@n%pl shulen@v1%pt_pl leven@v4%inf,but@conj god@n1#propn forbeden@v%pr_3 but@conj man@n%pl shulen@v1%pt_pl leven@v4%inf,
