OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Woot ye nat where ther stant a litel toun,¶Woot ye nat° wher ther stant° a litel toun,data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 1,,10,10,Woot ye nat where ther stant a litel toun,Woot ye nat wher ther stant a litel toun,u S u Sx u S u Su S,u S u S u S u Su S,witen@v1%pr_pl ye@pron%pl_nom not@adv wher@adv&conj ther@adv stonden@v1%pr_3 a@indef_art litel@adj toun@n,witen@v1%pr_pl ye@pron%pl_nom not@adv wher@adv&conj ther@adv stonden@v1%pr_3 a@indef_art litel@adj toun@n,
Which that ycleped is Bobbe-up-and-doun,"Which that ycleped is° Bob-up-and-doun,°",data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 2,,10,10,Which that ycleped is Bobbeupanddoun,Which that ycleped is Bobupanddoun,u S uSu S uSuS,u S uSu S uSuS,which@pron that@pron clepen@v%ppl ben@v%pr_3 bobbe-up-and-doun@n#propn,which@pron that@pron clepen@v%ppl ben@v%pr_3 bobbe-up-and-doun@n#propn,
"Under the Blee, in Caunterbury Weye?","Under° the Blee,° in Caunterbury weye?",data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 3,,10,10,Under the Blee in Caunterbury Weye,Under the Blee in Caunterbury weye,uS u S u SuSu S,uS u S u SuSu S,under@prep the@def_art blee@n#propn in@prep caunterbury@n#propn_adj wei@n,under@prep the@def_art blee@n#propn in@prep caunterbury@n#propn_adj wei@n,
Ther gan oure Hooste for to jape and pleye,Ther gan our Hoste for to jape° and pleye,data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 4,,10,10,Ther gan oure Hooste for to jape and pleye,Ther gan our Hoste for to jape and pleye,u S ux Su S u Sx u S,u S u Su S u Sx u S,ther@adv ginnen@v%pt_3 oure@pron%pl_gen hoste@n2 for@prep#adv to@part japen@v%inf and@conj pleien@v1%inf,ther@adv ginnen@v%pt_3 oure@pron%pl_gen hoste@n2 for@prep#adv to@part japen@v%inf and@conj pleien@v1%inf,
"And seyde, """"Sires, what! Dun is in the myre!","And seide, “Sirs, what! Dun is in the mire!°",data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 5,,10,10,And seyde Sires what Dun is in the myre,And seide Sirs what Dun is in the mire,u Sx uS u S u S u Sx,u Su S u S u S u Sx,and@conj seien@v1%pt_3 sire@n%pl what@interj dun@n#propn ben@v%pr_3 in@prep the@def_art mire@n1,and@conj seien@v1%pt_3 sire@n%pl what@interj dun@n#propn ben@v%pr_3 in@prep the@def_art mire@n1,
"Is ther no man, for preyere ne for hyre","Is ther no man, for preyere ne for hire,°",data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 6,,10,10,Is ther no man for preyere ne for hyre,Is ther no man for preyere ne for hire,u S u S u Sux S u Sx,u S u S u Sux S u Sx,ben@v%pr_3 ther@adv no@gram_adj man@n for@prep preiere@n2 ne@conj1 for@prep hire@n,ben@v%pr_3 ther@adv no@gram_adj man@n for@prep preiere@n2 ne@conj1 for@prep hire@n,
That wole awake oure felawe al bihynde?,That wol awake our felawe heer bihinde?,data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 7,DIFF,10,10,That wole awake oure felawe al bihynde,That wol awake our felawe heer bihinde,u Sx uSx ux Sux S uSx,u S uSx u Sux S uSx,that@pron willen@v%pr_3 awaken@v%inf oure@pron%pl_gen felaue@n al@adv bihinden@adv&adj,that@pron willen@v%pr_3 awaken@v%inf oure@pron%pl_gen felaue@n her@adv bihinden@adv&adj,green
A theef myghte hym ful lightly robbe and bynde.,A theef mighte him ful lightly° robbe and binde.,data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 8,,10,10,A theef myghte hym ful lightly robbe and bynde,A theef mighte him ful lightly robbe and binde,u S ux S u Su Sx u Sx,u S ux S u Su Sx u Sx,a@indef_art thef@n2 mouen@v3%pt_3 him@pron%obj ful@adv lightli@adv robben@v%inf and@conj binden@v%inf,a@indef_art thef@n2 mouen@v3%pt_3 him@pron%obj ful@adv lightli@adv robben@v%inf and@conj binden@v%inf,
"See how he nappeth! See how, for cokkes bones","See how he nappeth! see, for cokkes bones,°",data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 9,DIFF,10,10,See how he nappeth See how for cokkes bones,See how he nappeth see for cokkes bones,u S u Su S u S ux Sx,u S u Su S u Su Sx,sen@v1%imp hou@adv&conj he@pron1%nom nappen@v%pr_3 sen@v1%imp hou@adv&conj for@prep cok@n5%gen bon@n1%pl,sen@v1%imp hou@adv&conj he@pron1%nom nappen@v%pr_3 sen@v1%imp for@prep cok@n5%gen bon@n1%pl,green
That he wol falle fro his hors atones!,As he wol falle from his hors at ones.°,data/riverside_cats/MancPro_riv.cat,data/oxford_txts/MancPro_oxford.txt,data/csvs/MancPro,Prologue to the Manciple's Tale 10,DIFF,10,10,That he wol falle fro his hors atones,As he wol falle from his hors at ones,u S u Sx u S u SuS,u S u Sx u S u S uS,that@conj he@pron1%nom willen@v%pr_3 fallen@v%inf from@prep his@pron1%gen hors@n at_ones@adv,as@conj he@pron1%nom willen@v%pr_3 fallen@v%inf from@prep his@pron1%gen hors@n at@prep ones@adv,green
