OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
I wol biwaille in manere of tragedie,I wol biwaile in maner of tragedie,data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1991,,10,10,I wol biwaille in manere of tragedie,I wol biwaile in maner of tragedie,u S uSu S uxx S uxS,u S uSu S ux S uxS,ich@pron%nom willen@v%pr_1 biwailen@v%inf in@prep manere@n of@prep tragedie@n,ich@pron%nom willen@v%pr_1 biwailen@v%inf in@prep manere@n of@prep tragedie@n,green
The harm of hem that stoode in heigh degree,The harm of hem that stode in heigh degree,data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1992,,10,10,The harm of hem that stoode in heigh degree,The harm of hem that stode in heigh degree,u S u S u Sx u S uS,u S u S u Sx u S uS,the@def_art harm@n of@prep hem@pron%pl_obj that@pron stonden@v1%pt_pl in@prep heigh@adj degre@n,the@def_art harm@n of@prep hem@pron%pl_obj that@pron stonden@v1%pt_pl in@prep heigh@adj degre@n,
And fillen so that ther nas no remedie,And fill° so ther nas no remedie,data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1993,DIFF,10,9,And fillen so that ther nas no remedie,And fill so ther nas no remedie,u Su S u S u S uxS,S u S u S u SuS,and@conj fallen@v%pt_pl so@adv that@conj ther@adv ben@v%pt_3_neg no@gram_adj remedie@n,and@conj fallen@v%pt_3 so@adv ther@adv ben@v%pt_3_neg no@gram_adj remedie@n,green
To brynge hem out of hir adversitee.,To bringe hem out of hir adversitee;,data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1994,,10,10,To brynge hem out of hir adversitee,To bringe hem out of hir adversitee,u S u S u S uSuS,u Sx u S u S uSuS,to@part bringen@v%inf hem@pron%pl_obj oute@adv#prep of@prep here@pron%pl_gen adversite@n,to@part bringen@v%inf hem@pron%pl_obj oute@adv#prep of@prep here@pron%pl_gen adversite@n,
"For certein, whan that Fortune list to flee","For certein, whan that fortune list° to flee",data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1995,,10,10,For certein whan that Fortune list to flee,For certein whan that fortune list to flee,u Su S u Sux S u S,u Su S u Sux S u S,for@prep certain@adv whan@adv&conj that@part fortune@n#propn listen@v1%pr_3 to@part flen@v1%inf,for@prep certain@adv whan@adv&conj that@part fortune@n#propn listen@v1%pr_3 to@part flen@v1%inf,
Ther may no man the cours of hire withholde.,Ther may no man the cours of hir withholde;°,data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1996,,10,10,Ther may no man the cours of hire withholde,Ther may no man the cours of hir withholde,u S u S u S u Sx uSx,u S u S u S u S uSx,ther@adv mouen@v3%pr_3 no@gram_adj man@n the@def_art cours@n of@prep hire@pron2%fem_obj withholden@v%inf,ther@adv mouen@v3%pr_3 no@gram_adj man@n the@def_art cours@n of@prep hire@pron2%fem_obj withholden@v%inf,
Lat no man truste on blynd prosperitee;,Lat no man truste on blind prosperitee;,data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1997,,10,10,Lat no man truste on blynd prosperitee,Lat no man truste on blind prosperitee,u S u Su S  uSuS,u S u Su S u SxuS,leten@v%imp no@gram_adj man@n trusten@v%inf on@prep blind@adj prosperite@n,leten@v%imp no@gram_adj man@n trusten@v%inf on@prep blind@adj prosperite@n,
Be war by thise ensamples trewe and olde.,Be war by thise ensamples trewe and olde.,data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1998,,9,9,Be war by thise ensamples trewe and olde,Be war by thise ensamples trewe and olde,S u  Su Sux Sx u Sx,S u  Su Sux Sx u Sx,ben@v%imp ware@adj bi@prep these@gram_adj%pl ensaumple@n%pl treu@adj and@conj olde@adj,ben@v%imp ware@adj bi@prep these@gram_adj%pl ensaumple@n%pl treu@adj and@conj olde@adj,
"At Lucifer, though he an angel were","At Lucifer, though he an angel were",data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 1999,,10,10,At Lucifer though he an angel were,At Lucifer though he an angel were,u SuS u S u Su Sx,u SuS u S u Su Sx,at@prep lucifer@n1#propn though@conj he@pron1%nom a@indef_art aungel@n ben@v%pt_3,at@prep lucifer@n1#propn though@conj he@pron1%nom a@indef_art aungel@n ben@v%pt_3,
"And nat a man, at hym wol I bigynne.","And nat a man, at him I wol biginne;",data/riverside_cats/MkT_riverside_reordered.cat,data/oxford_txts/MkT_oxford.txt,data/csvs/MkT_reordered,The Monk's Tale 2000,DIFF,0,10,And nat a man at hym wol I bigynne,And nat a man at him I wol biginne,        ,u S u S u S u S uSx,and@conj not@adv a@indef_art man@n at@prep him@pron%obj willen@v%pr_1 ich@pron%nom biginnen@v%inf,and@conj not@adv a@indef_art man@n at@prep him@pron%obj ich@pron%nom willen@v%pr_1 biginnen@v%inf,green
