OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Hoo!"""" quod the Knyght, """"good sire, namoore of this!","¶“Ho!”° quod the Knight, “good sir, namore of this",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2767,,10,10,Hoo quod the Knyght good sire namoore of this,Ho quod the Knight good sir namore of this,u S u S u Sx uSx u S,u S u S u S uSx u S,ho@interj quethen@v%pt_3 the@def_art knight@n god@adj sire@n no_more@n of@prep this@pron,ho@interj quethen@v%pt_3 the@def_art knight@n god@adj sire@n no_more@n of@prep this@pron,
"That ye han seyd is right ynough, ywis","That° ye han seid is right ynough, ywis",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2768,,10,10,That ye han seyd is right ynough ywis,That ye han seid is right ynough ywis,u S u S u S uS uS,u S u S u S uS uS,that@pron ye@pron%pl_nom haven@v%pr_pl seien@v1%ppl ben@v%pr_3 righte@adv inough@n iwis@adv,that@pron ye@pron%pl_nom haven@v%pr_pl seien@v1%ppl ben@v%pr_3 righte@adv inough@n iwis@adv,
And muchel moore; for litel hevynesse,And mochel° more; for litel hevinesse,data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2769,,10,10,And muchel moore for litel hevynesse,And mochel more for litel hevinesse,u Su Sx u Su SuSx,u Su Sx u Su SuSx,and@conj muchel@adj more@n3 for@conj litel@adj hevinesse@n,and@conj muchel@adj more@n3 for@conj litel@adj hevinesse@n,
"Is right ynough to muche folk, I gesse.","Is right ynough to mochel° folk, I gesse.",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2770,DIFF,10,10,Is right ynough to muche folk I gesse,Is right ynough to mochel folk I gesse,u S uS u Su S u Sx,u S uS u Su S u Sx,ben@v%pr_3 righte@adv inough@n to@prep muche@adj folk@n ich@pron%nom gessen@v%pr_1,ben@v%pr_3 righte@adv inough@n to@prep muchel@adj folk@n ich@pron%nom gessen@v%pr_1,green
"I seye for me, it is a greet disese","I sey for me, it is a greet disese°",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2771,,10,10,I seye for me it is a greet disese,I sey for me it is a greet disese,u S u S u S u S uSx,u S u S u S u S uSx,ich@pron%nom seien@v1%pr_1 for@prep me@pron2%obj hit@pron ben@v%pr_3 a@indef_art gret@adj disese@n,ich@pron%nom seien@v1%pr_1 for@prep me@pron2%obj hit@pron ben@v%pr_3 a@indef_art gret@adj disese@n,
Whereas men han been in greet welthe and ese,Wheras° men han ben in greet welthe and ese,data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2772,,10,10,Whereas men han been in greet welthe and ese,Wheras men han ben in greet welthe and ese,uSu S u S u S ux S xx,uS u S u S u Sx u Sx,wher-as@adv man@n%pl haven@v%pr_pl ben@v%ppl in@prep gret@adj welth@n and@conj ese@n,wher-as@adv man@n%pl haven@v%pr_pl ben@v%ppl in@prep gret@adj welth@n and@conj ese@n,
"To heeren of hire sodeyn fal, allas!","To heren of hir sodein fal, allas!",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2773,,10,10,To heeren of hire sodeyn fal allas,To heren of hir sodein fal allas,u Su S ux Su S uS,u Su S u Su S uS,to@part heren@v%inf of@prep here@pron%pl_gen sodein@adj fal@n alas@interj,to@part heren@v%inf of@prep here@pron%pl_gen sodein@adj fal@n alas@interj,
And the contrarie is joye and greet solas,"And the contrarie is joie and greet solas,°",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2774,,0,0,And the contrarie is joye and greet solas,And the contrarie is joie and greet solas,       ,       ,and@conj the@def_art contrarie@n ben@v%pr_3 joie@n and@conj gret@adj solas@n,and@conj the@def_art contrarie@n ben@v%pr_3 joie@n and@conj gret@adj solas@n,
As whan a man hath been in povre estaat,"As whan a man hath been in povre estaat,°",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2775,,10,10,As whan a man hath been in povre estaat,As whan a man hath been in povre estaat,u S u S u S u Sx uS,u S u S u S u Sx uS,as@conj whan@adv&conj a@indef_art man@n haven@v%pr_3 ben@v%ppl in@prep povre@adj estat@n,as@conj whan@adv&conj a@indef_art man@n haven@v%pr_3 ben@v%ppl in@prep povre@adj estat@n,
And clymbeth up and wexeth fortunat,"And climbeth up, and wexeth° fortunat",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2776,,10,10,And clymbeth up and wexeth fortunat,And climbeth up and wexeth fortunat,u Su S u Su SuS,u Su S u Su SuS,and@conj climben@v%pr_3 up@adv and@conj waxen@v1%pr_3 fortunat@adj,and@conj climben@v%pr_3 up@adv and@conj waxen@v1%pr_3 fortunat@adj,
And there abideth in prosperitee.,And ther abideth° in prosperitee,data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2777,,10,10,And there abideth in prosperitee,And ther abideth in prosperitee,u Sx uSu S uSuS,u S uSu S uSuS,and@conj ther@adv abiden@v%pr_3 in@prep prosperite@n,and@conj ther@adv abiden@v%pr_3 in@prep prosperite@n,
"Swich thyng is gladsom, as it thynketh me","Swich thing is gladsom, as it thinketh me",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2778,,10,10,Swich thyng is gladsom as it thynketh me,Swich thing is gladsom as it thinketh me,u S u Su S u Su S,u S u Su S u Su S,swich@gram_adj thing@n ben@v%pr_3 gladsom@adj as@conj hit@pron thinken@v1%pr_3 me@pron2%obj,swich@gram_adj thing@n ben@v%pr_3 gladsom@adj as@conj hit@pron thinken@v1%pr_3 me@pron2%obj,
And of swich thyng were goodly for to telle.,And of° swich thing were goodly° for to telle.”,data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2779,,10,10,And of swich thyng were goodly for to telle,And of swich thing were goodly for to telle,u S u S ux Su S u Sx,u S u S ux Su S u Sx,and@conj of@prep swich@gram_adj thing@n ben@v%pt_3 godli@adj2 for@prep#adv to@part tellen@v%inf,and@conj of@prep swich@gram_adj thing@n ben@v%pt_3 godli@adj2 for@prep#adv to@part tellen@v%inf,
"Ye,"""" quod oure Hooste, """"by Seint Poules belle!","¶“Ye,” quod our Hoste, “by Seint Poules belle",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2780,,10,10,Ye quod oure Hooste by Seint Poules belle,Ye quod our Hoste by Seint Poules belle,u S ux Su S u Su Sx,u S u Su S u Su Sx,ye@adv quethen@v%pt_3 oure@pron%pl_gen hoste@n2 bi@prep seinte@adj poule@n#propn%gen belle@n1,ye@adv quethen@v%pt_3 oure@pron%pl_gen hoste@n2 bi@prep seinte@adj poule@n#propn%gen belle@n1,
Ye seye right sooth; this Monk he clappeth lowde.,"Ye sey right sooth; this monk, he clappeth° loude",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2781,,10,10,Ye seye right sooth this Monk he clappeth lowde,Ye sey right sooth this monk he clappeth loude,u S u S u S u Su Sx,u S u S u S u Su Sx,ye@pron%pl_nom seien@v1%pr_pl right@adj soth@n this@gram_adj monk@n he@pron1%nom clappen@v%pr_3 loude@adv,ye@pron%pl_nom seien@v1%pr_pl right@adj soth@n this@gram_adj monk@n he@pron1%nom clappen@v%pr_3 loude@adv,
He spak how Fortune covered with a clowde,He spak how fortune covered with a cloude,data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2782,,10,10,He spak how Fortune covered with a clowde,He spak how fortune covered with a cloude,u S u Sux Sux S u Sx,u S u Sux Sux S u Sx,he@pron1%nom speken@v%pt_3 hou@adv&conj fortune@n#propn coveren@v1%pt_3 with@prep a@indef_art cloud@n,he@pron1%nom speken@v%pt_3 hou@adv&conj fortune@n#propn coveren@v1%pt_3 with@prep a@indef_art cloud@n,
I noot nevere what; and als of a tragedie,"I noot never° what, and als of ‘Tragedie.’",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2783,DIFF,10,10,I noot nevere what and als of a tragedie,I noot never what and als of Tragedie,u S uxx S u S u S uxS,u S uS u S u S uxS,ich@pron%nom witen@v1%pr_1_neg never@adv what@pron and@conj also@adv of@prep a@indef_art tragedie@n,ich@pron%nom witen@v1%pr_1_neg never@adv what@pron and@conj also@adv of@prep tragedie@n,green
"Right now ye herde, and pardee, no remedie","Right now ye herde, and parde!° no remedie",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2784,,10,10,Right now ye herde and pardee no remedie,Right now ye herde and parde no remedie,u S u Sx u Su S uxS,u S u Sx u Sx u SuS,righte@adv nou@adv ye@pron%pl_nom heren@v%pt_pl and@conj parde@interj no@gram_adj remedie@n,righte@adv nou@adv ye@pron%pl_nom heren@v%pt_pl and@conj parde@interj no@gram_adj remedie@n,
It is for to biwaille ne compleyne,"It is for to biwaille, ne° compleine",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2785,,10,10,It is for to biwaille ne compleyne,It is for to biwaille ne compleine,u S u S uSu S uSx,u S u S uSu S uSx,hit@pron ben@v%pr_3 for@prep#adv to@part biwailen@v%inf ne@conj1 compleinen@v%inf,hit@pron ben@v%pr_3 for@prep#adv to@part biwailen@v%inf ne@conj1 compleinen@v%inf,
"That that is doon, and als it is a peyne","That that° is doon, and als° it is a peine",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2786,,10,10,That that is doon and als it is a peyne,That that is doon and als it is a peine,u S u S u S u S u Sx,u S u S u S u S u Sx,that@pron that@pron ben@v%pr_3 don@v1%ppl and@conj also@adv hit@pron ben@v%pr_3 a@indef_art peine@n,that@pron that@pron ben@v%pr_3 don@v1%ppl and@conj also@adv hit@pron ben@v%pr_3 a@indef_art peine@n,
"As ye han seyd, to heere of hevynesse.","As ye han seid, to here° of hevinesse.",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2787,,10,10,As ye han seyd to heere of hevynesse,As ye han seid to here of hevinesse,u S u S u Sx u SuSx,u S u S u Sx u SuSx,as@conj ye@pron%pl_nom haven@v%pr_pl seien@v1%ppl to@part heren@v%inf of@prep hevinesse@n,as@conj ye@pron%pl_nom haven@v%pr_pl seien@v1%ppl to@part heren@v%inf of@prep hevinesse@n,
"Sire Monk, namoore of this, so God yow blesse!","¶“Sir Monk, namore of this, so God° yow blesse!",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2788,,10,10,Sire Monk namoore of this so God yow blesse,Sir Monk namore of this so God yow blesse,ux S uSx u S u S u Sx,u S uSx u S u S u Sx,sire@n#adj monk@n no_more@n of@prep this@pron so@adv god@n1#propn you@pron%pl_obj blessen@v%pr_3,sire@n#adj monk@n no_more@n of@prep this@pron so@adv god@n1#propn you@pron%pl_obj blessen@v%pr_3,
Youre tale anoyeth al this compaignye.,Your tale anoyeth° al this companie;,data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2789,,0,10,Youre tale anoyeth al this compaignye,Your tale anoyeth al this companie,     ,u Sx uSu S u SuS,your@pron%pl_gen tale@n anoien@v%pr_3 al@gram_adj this@gram_adj compaignie@n,your@pron%pl_gen tale@n anoien@v%pr_3 al@gram_adj this@gram_adj compaignie@n,
Swich talkyng is nat worth a boterflye,Swich talking is nat worth a boterflie;,data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2790,,0,10,Swich talkyng is nat worth a boterflye,Swich talking is nat worth a boterflie,      ,u Su S u S u SuS,swich@gram_adj talkinge@ger ben@v%pr_3 not@adv worth@adj a@indef_art buter-flie@n,swich@gram_adj talkinge@ger ben@v%pr_3 not@adv worth@adj a@indef_art buter-flie@n,
For therinne is ther no desport ne game.,For therin is ther no desport° ne game.,data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2791,,10,10,For therinne is ther no desport ne game,For therin is ther no desport ne game,u Sux S u S uS u Sx,u Su S u S uS u Sx,for@conj ther-inne@adv ben@v%pr_3 ther@adv no@conj1 disport@n ne@conj1 game@n,for@conj ther-inne@adv ben@v%pr_3 ther@adv no@conj1 disport@n ne@conj1 game@n,
"Wherfore, sire Monk, daun Piers by youre name","Wherfor, sir Monk, or dan Piers by your name",data/riverside_cats/NPPro_riv.cat,data/oxford_txts/NPPro_oxford.txt,data/csvs/NPPro,Prologue to the Nun's Priest's Tale 2792,DIFF,10,0,Wherfore sire Monk daun Piers by youre name,Wherfor sir Monk or dan Piers by your name,uSx ux S u Su S ux Sx,        ,wher-for@adv sire@n#adj monk@n daun@n#adj piers@n2#propn bi@prep your@pron%pl_gen name@n,wher-for@adv sire@n#adj monk@n your@pron%pl_gen daun@n#adj piers@n2#propn bi@prep your@pron%pl_gen name@n,green
