OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"A povre wydwe, somdeel stape in age","¶A povre widwe, somdel° stape° in age",data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2821,,10,10,A povre wydwe somdeel stape in age,A povre widwe somdel stape in age,u Su Su Su Sx u Sx,u Su Su Su Sx u Sx,a@indef_art povre@adj widwe@n som-del@adv steppen@v%ppl_abs in@prep age@n,a@indef_art povre@adj widwe@n som-del@adv steppen@v%ppl_abs in@prep age@n,green
Was whilom dwellyng in a narwe cotage,Was whilom° dwelling in a narwe° cotage,data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2822,,10,10,Was whilom dwellyng in a narwe cotage,Was whilom dwelling in a narwe cotage,u Su Su S u Sx uSx,u Su Su S u Sx uSx,ben@v%pt_3 whilom@adv dwellen@v%prp in@prep a@indef_art narwe@adj cotage@n,ben@v%pt_3 whilom@adv dwellen@v%prp in@prep a@indef_art narwe@adj cotage@n,
"Biside a grove, stondynge in a dale.","Biside a grove, stonding in a dale.°",data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2823,,10,10,Biside a grove stondynge in a dale,Biside a grove stonding in a dale,uSx u Sx uSu S u Sx,uSx u Su Su S u Sx,bisides@prep a@indef_art grove@n1 stonden@v1%prp_abs in@prep a@indef_art dale@n,bisides@prep a@indef_art grove@n1 stonden@v1%prp_abs in@prep a@indef_art dale@n,
"This wydwe, of which I telle yow my tale","This widwe, of which I telle yow my tale",data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2824,,10,10,This wydwe of which I telle yow my tale,This widwe of which I telle yow my tale,u Sx u S u Su S u Sx,u Sx u S u Su S u Sx,this@gram_adj widwe@n of@prep which@pron ich@pron%nom tellen@v%pr_1 you@pron%pl_obj min@pron%gen tale@n,this@gram_adj widwe@n of@prep which@pron ich@pron%nom tellen@v%pr_1 you@pron%pl_obj min@pron%gen tale@n,
Syn thilke day that she was last a wyf,Sin thilke° day that she was last a wif,data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2825,,10,10,Syn thilke day that she was last a wyf,Sin thilke day that she was last a wif,u Su S u S u S u S,u Su S u S u S u S,sin@prep thilke@gram_adj dai@n that@pron she@pron%nom ben@v%pt_3 laste@adv%sup a@indef_art wif@n,sin@prep thilke@gram_adj dai@n that@pron she@pron%nom ben@v%pt_3 laste@adv%sup a@indef_art wif@n,
In pacience ladde a ful symple lyf,In pacience ladde a ful simple lif,data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2826,,10,10,In pacience ladde a ful symple lyf,In pacience ladde a ful simple lif,u SuSx ux S u Su S,u SuSx ux S u Su S,in@prep pacience@n leden@v1%pt_3 a@indef_art ful@adv simple@adj lif@n,in@prep pacience@n leden@v1%pt_3 a@indef_art ful@adv simple@adj lif@n,
For litel was hir catel and hir rente.,For litel was hir catel° and hir rente;°,data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2827,,10,10,For litel was hir catel and hir rente,For litel was hir catel and hir rente,u Su S u Su S u Sx,u Su S u Su S u Sx,for@conj litel@adj ben@v%pt_3 hire@pron1%fem_gen catel@n and@conj hire@pron1%fem_gen rente@n,for@conj litel@adj ben@v%pt_3 hire@pron1%fem_gen catel@n and@conj hire@pron1%fem_gen rente@n,
By housbondrie of swich as God hire sente,"By housbondrie,° of such as God hir sente",data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2828,,10,10,By housbondrie of swich as God hire sente,By housbondrie of such as God hir sente,u SuS u S u S ux Sx,u SuS u S u S u Sx,bi@prep hus-bondrie@n of@prep swich@gram_adj as@conj god@n1#propn hire@pron2%fem_obj senden@v2%pt_3,bi@prep hus-bondrie@n of@prep swich@gram_adj as@conj god@n1#propn hire@pron2%fem_obj senden@v2%pt_3,
She foond hirself and eek hir doghtren two.,"She fond° hirself, and eek hir doghtren two.",data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2829,,10,10,She foond hirself and eek hir doghtren two,She fond hirself and eek hir doghtren two,u S uS u S u Su S,u S uS u S u Su S,she@pron%nom finden@v%pt_3 hire-self@pron and@conj ek@adv hire@pron1%fem_gen doughter@n%pl two@num_adj,she@pron%nom finden@v%pt_3 hire-self@pron and@conj ek@adv hire@pron1%fem_gen doughter@n%pl two@num_adj,
"Thre large sowes hadde she, and namo","Three large sowes° had she, and namo",data/riverside_cats/NPT_riv.cat,data/oxford_txts/NPT_oxford.txt,data/csvs/NPT,The Nun's Priest's Tale 2830,,10,10,Thre large sowes hadde she and namo,Three large sowes had she and namo,u Su Su Sx u S uS,u Su Su S u S uS,thre@num_adj large@adj soue@n2%pl haven@v%pt_3 she@pron%nom and@conj no_mo@n,thre@num_adj large@adj soue@n2%pl haven@v%pt_3 she@pron%nom and@conj no_mo@n,
