OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
In Flaundres whilom was a compaignye,¶In Flaundres whilom° was a companie,data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 463,,9,10,In Flaundres whilom was a compaignye,In Flaundres whilom was a companie,S uS uS u S uSx,u Su Su S u SuS,in@prep flaundres@n#propn whilom@adv ben@v%pt_3 a@indef_art compaignie@n,in@prep flaundres@n#propn whilom@adv ben@v%pt_3 a@indef_art compaignie@n,green
Of yonge folk that haunteden folye,"Of yonge folk, that haunteden° folie",data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 464,,0,10,Of yonge folk that haunteden folye,Of yonge folk that haunteden folie,     ,u Su S u SuS uS,of@prep yong@adj folk@n that@pron haunten@v1%pt_pl folie@n,of@prep yong@adj folk@n that@pron haunten@v1%pt_pl folie@n,
"As riot, hasard, stywes, and tavernes","As riot,° hasard,° stewes,° and tavernes",data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 465,,10,10,As riot hasard stywes and tavernes,As riot hasard stewes and tavernes,u Su Su S u SuS,u Su Su Su S uSx,as@conj riote@n hasard@n steue@n2%pl and@conj taverne@n%pl,as@conj riote@n hasard@n steue@n2%pl and@conj taverne@n%pl,
"Where as with harpes, lutes, and gyternes","Wheras,° with harpes, lutes, and giternes,°",data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 466,DIFF,10,10,Where as with harpes lutes and gyternes,Wheras with harpes lutes and giternes,ux S u Su Su S uS,uS u Su Su S uSx,wher@adv&conj as@conj with@prep harpe@n%pl lute@n1%pl and@conj giterne@n%pl,wher-as@adv with@prep harpe@n%pl lute@n1%pl and@conj giterne@n%pl,green
They daunce and pleyen at dees bothe day and nyght,They daunce and pleye at dees° both day and night,data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 467,DIFF,10,10,They daunce and pleyen at dees bothe day and nyght,They daunce and pleye at dees both day and night,u Su S ux S u Sx u S ,u Sx u Sx u S u S u S,thei@pron%pl_nom dauncen@v%pr_pl and@conj pleien@v1%pr_pl at@prep de@n%pl bothe@num_conj dai@n and@conj night@n,thei@pron%pl_nom dauncen@v%pr_pl and@conj pleien@v1%pr_pl at@prep de@n%pl bothe@num_conj dai@n and@conj night@n,green
And eten also and drynken over hir myght,"And ete also and drinke over hir might,°",data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 468,DIFF,10,10,And eten also and drynken over hir myght,And ete also and drinke over hir might,u Su Su S u Su S ,u Su Su S ux Sx u S,and@conj eten@v%pr_pl also@adv and@conj drinken@v%pr_pl over@prep here@pron%pl_gen might@n,and@conj eten@v%pr_pl also@adv and@conj drinken@v%pr_pl over@prep here@pron%pl_gen might@n,green
Thurgh which they doon the devel sacrifise,Thurgh which they doon° the devel sacrifise,data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 469,,10,10,Thurgh which they doon the devel sacrifise,Thurgh which they doon the devel sacrifise,u S u S u Su SuSx,u S u S u Su SuSx,thurgh@prep which@pron thei@pron%pl_nom don@v1%pr_pl the@def_art devel@n sacrifice@n,thurgh@prep which@pron thei@pron%pl_nom don@v1%pr_pl the@def_art devel@n sacrifice@n,
Withinne that develes temple in cursed wise,"Within that develes temple, in cursed wise",data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 470,,10,10,Withinne that develes temple in cursed wise,Within that develes temple in cursed wise,uSx u Sux Su S ux Sx,uS u Sux Su S ux Sx,with-inne@prep that@art&gram_adj devel@n%gen temple@n1 in@prep cursed@ppl#adj wise@n2,with-inne@prep that@art&gram_adj devel@n%gen temple@n1 in@prep cursed@ppl#adj wise@n2,
By superfluytee abhomynable.,By superfluitee° abhominable;,data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 471,,0,0,By superfluytee abhomynable,By superfluitee abhominable,  ,  ,bi@prep superfluite@n abhominable@adj,bi@prep superfluite@n abhominable@adj,
Hir othes been so grete and so dampnable,Hir othes° been so grete and so dampnable,data/riverside_cats/PardT_riv.cat,data/oxford_txts/PardT_oxford.txt,data/csvs/PardT,The Pardoner's Tale 472,,10,10,Hir othes been so grete and so dampnable,Hir othes been so grete and so dampnable,u Su S u Sx u S uSx,u Su S u Sx u S uSx,here@pron%pl_gen oth@n%pl ben@v%pr_pl so@adv gret@adj and@conj so@adv dampnable@adj,here@pron%pl_gen oth@n%pl ben@v%pr_pl so@adv gret@adj and@conj so@adv dampnable@adj,
