OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Ther was, as telleth Titus Livius","¶Ther was, as telleth Titus Livius,°",data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 1,,10,10,Ther was as telleth Titus Livius,Ther was as telleth Titus Livius,u S u Su Su SuS,u S u Su Su SuS,ther@adv ben@v%pt_3 as@conj tellen@v%pr_3 titus@n#propn livius@n#propn,ther@adv ben@v%pt_3 as@conj tellen@v%pr_3 titus@n#propn livius@n#propn,
A knyght that called was Virginius,A knight that called was Virginius,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 2,,9,10,A knyght that called was Virginius,A knight that called was Virginius,S  u Su S uSuS,u S u Su S uSuS,a@indef_art knight@n that@pron callen@v%ppl ben@v%pt_3 virginius@n#propn,a@indef_art knight@n that@pron callen@v%ppl ben@v%pt_3 virginius@n#propn,
Fulfild of honour and of worthynesse,Fulfild of° honour and of worthinesse,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 3,,9,10,Fulfild of honour and of worthynesse,Fulfild of honour and of worthinesse,Su S uS u S uSx,uS u Su S u SuSx,ful-fillen@v%ppl_abs of@prep honour@n and@conj of@prep worthinesse@n,ful-fillen@v%ppl_abs of@prep honour@n and@conj of@prep worthinesse@n,
"And strong of freendes, and of greet richesse.",And strong of freendes° and of greet richesse.,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 4,,10,10,And strong of freendes and of greet richesse,And strong of freendes and of greet richesse,u S u Su S u S uSx,u S u Su S u S uSx,and@conj strong@adj of@prep frend@n%pl and@conj of@prep gret@adj richesse@n,and@conj strong@adj of@prep frend@n%pl and@conj of@prep gret@adj richesse@n,
This knyght a doghter hadde by his wyf;,¶This knight a doghter hadde by his wif,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 5,,0,0,This knyght a doghter hadde by his wyf,This knight a doghter hadde by his wif,       ,       ,this@gram_adj knight@n a@indef_art doughter@n haven@v%pt_3 bi@prep his@pron1%gen wif@n,this@gram_adj knight@n a@indef_art doughter@n haven@v%pt_3 bi@prep his@pron1%gen wif@n,
No children hadde he mo in al his lyf.,No children hadde he mo in al his lif.,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 6,,10,10,No children hadde he mo in al his lyf,No children hadde he mo in al his lif,u Su Su S u S u S ,u Su Su S x u S u S,no@gram_adj child@n%pl haven@v%pt_3 he@pron1%nom mo@adj%comp in@prep al@gram_adj his@pron1%gen lif@n,no@gram_adj child@n%pl haven@v%pt_3 he@pron1%nom mo@adj%comp in@prep al@gram_adj his@pron1%gen lif@n,
Fair was this mayde in excellent beautee,Fair was this maide in excellent beautee,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 7,,10,10,Fair was this mayde in excellent beautee,Fair was this maide in excellent beautee,u S u Sx u SuS uS,u S u Sx u SuS uS,fair@adj ben@v%pt_3 this@gram_adj maide@n in@prep excellent@adj beaute@n,fair@adj ben@v%pt_3 this@gram_adj maide@n in@prep excellent@adj beaute@n,
Aboven every wight that man may see;,Aboven every wight° that man may see;,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 8,,10,10,Aboven every wight that man may see,Aboven every wight that man may see,uSu Su S u S u S,uSu Su S u S u S,aboven@prep everi@pron_gram_adj wight@n that@pron man@n mouen@v3%pr_3 sen@v1%inf,aboven@prep everi@pron_gram_adj wight@n that@pron man@n mouen@v3%pr_3 sen@v1%inf,
For Nature hath with sovereyn diligence,For nature hath with soverein° diligence,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 9,,10,10,For Nature hath with sovereyn diligence,For nature hath with soverein diligence,u Sux S u Sxu SuSx,u Sux S u Sxu SuSx,for@conj nature@n#propn haven@v%pr_3 with@prep soverain@adj diligence@n,for@conj nature@n#propn haven@v%pr_3 with@prep soverain@adj diligence@n,
Yformed hire in so greet excellence,Yformed° hir in so greet excellence,data/riverside_cats/PhyT_riv.cat,data/oxford_txts/PhyT_oxford.txt,data/csvs/PhyT,The Physician's Tale 10,,9,9,Yformed hire in so greet excellence,Yformed hir in so greet excellence,Su Sx u S u SuSx,Su S u S u SuSx,formen@v%ppl hire@pron2%fem_obj in@prep so@adv gret@adj excellence@n,formen@v%ppl hire@pron2%fem_obj in@prep so@adv gret@adj excellence@n,
