OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"Ther was in Asye, in a greet citee","Ther was in Asie, in a greet citee",data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 488,,10,10,Ther was in Asye in a greet citee,Ther was in Asie in a greet citee,u S u Su S u S uS,u S u Su S u S uS,ther@adv ben@v%pt_3 in@prep asia@n#propn in@prep a@indef_art gret@adj cite@n,ther@adv ben@v%pt_3 in@prep asia@n#propn in@prep a@indef_art gret@adj cite@n,green
Amonges Cristene folk a Jewerye,"Amonges Cristen folk, a Jewerie,°",data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 489,,9,10,Amonges Cristene folk a Jewerye,Amonges Cristen folk a Jewerie,SuS uSx u S uSx,uSu Su S u SuS,amonges@prep cristen@adj folk@n a@indef_art jeuerie@n,amonges@prep cristen@adj folk@n a@indef_art jeuerie@n,
Sustened by a lord of that contree,Sustened by a lord of that contree,data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 490,,9,9,Sustened by a lord of that contree,Sustened by a lord of that contree,SuS  u S u S uS,SuS  u S u S uS,sustenen@v%ppl_abs bi@prep a@indef_art lord@n of@prep that@art&gram_adj contree@n,sustenen@v%ppl_abs bi@prep a@indef_art lord@n of@prep that@art&gram_adj contree@n,
For foule usure and lucre of vileynye,"For foule usure° and lucre of vilanie,°",data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 491,,10,10,For foule usure and lucre of vileynye,For foule usure and lucre of vilanie,u Su Sux S ux S uSx,u Sx uSx u Sx u SuS,for@prep foul@adj usure@n and@conj lucre@n of@prep vileinie@n,for@prep foul@adj usure@n and@conj lucre@n of@prep vileinie@n,
Hateful to Crist and to his compaignye;,Hateful to Crist and to his compaignie;,data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 492,,10,10,Hateful to Crist and to his compaignye,Hateful to Crist and to his compaignie,uSu S u S u S uSx,uSu S u S x u SuS,hateful@adj to@prep crist@n#propn and@conj to@prep his@pron1%gen compaignie@n,hateful@adj to@prep crist@n#propn and@conj to@prep his@pron1%gen compaignie@n,
And thurgh the strete men myghte ride or wende,"And thurgh the strete men might ride or wende,°",data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 493,,10,10,And thurgh the strete men myghte ride or wende,And thurgh the strete men might ride or wende,u S u Su S u Sx u Sx,u S u Su S u Sx u Sx,and@conj thurgh@prep the@def_art strete@n2 man@n%pl mouen@v3%pt_pl riden@v%inf or@conj wenden@v%inf,and@conj thurgh@prep the@def_art strete@n2 man@n%pl mouen@v3%pt_pl riden@v%inf or@conj wenden@v%inf,
For it was free and open at eyther ende.,"For it was free, and open at either ende.",data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 494,,10,10,For it was free and open at eyther ende,For it was free and open at either ende,u S u S u Su S ux Sx,u S u S u Su S ux Sx,for@conj hit@pron ben@v%pt_3 fre@adj and@conj open@adj at@prep either@pron_adj ende@n1,for@conj hit@pron ben@v%pt_3 fre@adj and@conj open@adj at@prep either@pron_adj ende@n1,
A litel scole of Cristen folk ther stood,A litel scole of Cristen folk ther stood,data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 495,,10,10,A litel scole of Cristen folk ther stood,A litel scole of Cristen folk ther stood,u Su Su S ux S u S,u Su Su S ux S u S,a@indef_art litel@adj scole@n2 of@prep cristen@adj folk@n ther@adv stonden@v1%pt_3,a@indef_art litel@adj scole@n2 of@prep cristen@adj folk@n ther@adv stonden@v1%pt_3,
"Doun at the ferther ende, in which ther were","Doun at the ferther ende, in which ther were",data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 496,,10,10,Doun at the ferther ende in which ther were,Doun at the ferther ende in which ther were,u S u Su Su S u S xx,u S u Su Su S u S xx,doun@adv at@prep the@def_art ferther@adj%comp ende@n1 in@prep which@pron ther@adv ben@v%pt_pl,doun@adv at@prep the@def_art ferther@adj%comp ende@n1 in@prep which@pron ther@adv ben@v%pt_pl,
"Children an heep, ycomen of Cristen blood","Children an heep,° ycome of Cristen blood",data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 497,DIFF,10,9,Children an heep ycomen of Cristen blood,Children an heep ycome of Cristen blood,uS u S uS u Su S,Su S u Su S ux S,child@n%pl a@indef_art hep@n comen@v%ppl_abs of@prep cristen@adj blod@n1,child@n%pl a@indef_art hep@n comen@v%ppl of@prep cristen@adj blod@n1,green
That lerned in that scole yeer by yere,That lerned in that scole yeer by yere,data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 498,,0,0,That lerned in that scole yeer by yere,That lerned in that scole yeer by yere,       ,       ,that@pron lernen@v%pt_pl in@prep that@art&gram_adj scole@n2 yer@n bi@prep yer@n,that@pron lernen@v%pt_pl in@prep that@art&gram_adj scole@n2 yer@n bi@prep yer@n,
Swich manere doctrine as men used there,Swich maner doctrine as men used there,data/riverside_cats/PrT_riv.cat,data/oxford_txts/PrT_oxford.txt,data/csvs/PrT,The Prioress' Tale 499,,10,10,Swich manere doctrine as men used there,Swich maner doctrine as men used there,u Sux Sux S u Su Sx,u Su Sux S u Su Sx,swich@gram_adj manere@n#adj doctrine@n as@conj man@n%pl usen@v%pt_pl ther@adv,swich@gram_adj manere@n#adj doctrine@n as@conj man@n%pl usen@v%pt_pl ther@adv,
