OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
This Somonour in his styropes hye stood;,¶This Somnour in his stiropes° hye stood;,data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1665,,10,10,This Somonour in his styropes hye stood,This Somnour in his stiropes hye stood,u SuS u S uS u S,u Su S u SuS u S,this@gram_adj somnour@n in@prep his@pron1%gen stirop@n%pl heighe@adv stonden@v1%pt_3,this@gram_adj somnour@n in@prep his@pron1%gen stirop@n%pl heighe@adv stonden@v1%pt_3,
Upon this Frere his herte was so wood,"Upon this Frere his herte was so wood,°",data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1666,,10,10,Upon this Frere his herte was so wood,Upon this Frere his herte was so wood,uS u Su S ux S u S,uS u Su S ux S u S,upon@prep this@gram_adj frere@n his@pron1%gen herte@n ben@v%pt_3 so@adv wod@adj,upon@prep this@gram_adj frere@n his@pron1%gen herte@n ben@v%pt_3 so@adv wod@adj,
That lyk an aspen leef he quook for ire.,That lik an aspen leef he quook° for ire.°,data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1667,,9,10,That lyk an aspen leef he quook for ire,That lik an aspen leef he quook for ire,S  u Su S u S u Sx,u S u Su S u S u Sx,that@conj like@prep a@indef_art aspe@n#adj lef@n1 he@pron1%nom quaken@v%pt_3 for@prep ire@n,that@conj like@prep a@indef_art aspe@n#adj lef@n1 he@pron1%nom quaken@v%pt_3 for@prep ire@n,
"Lordynges,"""" quod he, """"but o thyng I desire;","“Lordings,” quod he, “but o° thing I desire;",data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1668,,9,10,Lordynges quod he but o thyng I desire,Lordings quod he but o thing I desire,Su S u S u  S uSx,uS u S u S u S uSx,lordinge@n%pl quethen@v%pt_3 he@pron1%nom but@conj o@num_adj thing@n ich@pron%nom desiren@v%pr_1,lordinge@n%pl quethen@v%pt_3 he@pron1%nom but@conj o@num_adj thing@n ich@pron%nom desiren@v%pr_1,
"I yow biseke that, of youre curteisye","I yow biseek° that, of your curteisie",data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1669,,10,10,I yow biseke that of youre curteisye,I yow biseek that of your curteisie,u S uSu S u Sx uSx,u S uS u S u SuS,ich@pron%nom you@pron%pl_obj bisechen@v%pr_1 that@conj of@prep your@pron%pl_gen courteisie@n,ich@pron%nom you@pron%pl_obj bisechen@v%pr_1 that@conj of@prep your@pron%pl_gen courteisie@n,
Syn ye han herd this false Frere lye,Sin ye han herd this false Frere lie,data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1670,,9,10,Syn ye han herd this false Frere lye,Sin ye han herd this false Frere lie, S u S u Su Su S,u S u S u Su Su S,sin@conj ye@pron%pl_nom haven@v%pr_pl heren@v%ppl this@gram_adj fals@adj frere@n lien@v2%inf,sin@conj ye@pron%pl_nom haven@v%pr_pl heren@v%ppl this@gram_adj fals@adj frere@n lien@v2%inf,
As suffreth me I may my tale telle.,As suffereth me° I may my tale telle!,data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1671,,9,10,As suffreth me I may my tale telle,As suffereth me I may my tale telle,S uS u S u  Su Sx,u SuS u S u  Su Sx,as@conj sufferen@v%imp me@pron2%obj ich@pron%nom mouen@v3%pr_1 min@pron%gen tale@n tellen@v%inf,as@conj sufferen@v%imp me@pron2%obj ich@pron%nom mouen@v3%pr_1 min@pron%gen tale@n tellen@v%inf,
This Frere bosteth that he knoweth helle,This Frere bosteth that he knoweth helle,data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1672,,10,10,This Frere bosteth that he knoweth helle,This Frere bosteth that he knoweth helle,u Su Su S u Su Sx,u Su Su S u Su Sx,this@gram_adj frere@n bosten@v%pr_3 that@conj he@pron1%nom knouen@v%pr_3 helle@n,this@gram_adj frere@n bosten@v%pr_3 that@conj he@pron1%nom knouen@v%pr_3 helle@n,
"And God it woot, that it is litel wonder;","And God it woot,° that it is litel wonder;",data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1673,,10,10,And God it woot that it is litel wonder,And God it woot that it is litel wonder,u S u S u S u Su Sx,u S u S u S u Su Sx,and@conj god@n1#propn hit@pron witen@v1%pr_3 that@conj hit@pron ben@v%pr_3 litel@adj wonder@n,and@conj god@n1#propn hit@pron witen@v1%pr_3 that@conj hit@pron ben@v%pr_3 litel@adj wonder@n,
Freres and feendes been but lyte asonder.,Freres and feendes° been but lite asonder.°,data/riverside_cats/SumPro_riv.cat,data/oxford_txts/SumPro_oxford.txt,data/csvs/SumPro,The Summoner's Prologue 1674,,10,10,Freres and feendes been but lyte asonder,Freres and feendes been but lite asonder,uS u Su S u x SuS,uS u Su S u Sx uSx,frere@n%pl and@conj fend@n%pl ben@v%pt_pl but@conj lite@adv asonder@adv&adj,frere@n%pl and@conj fend@n%pl ben@v%pt_pl but@conj lite@adv asonder@adv&adj,
