text,original_scansion,predicted_scansion,dataset_split,filename,match
Of hir goodnesse us nedeth trewely,u S uSu S uS uS,u S uSu S uS uS,train,LGW_gui_complete.csv,yes
And leet therof as nothing wist hadde I,u S uS u Su S ux S,u S uS u SS S Sx S,train,TC2_gui_complete.csv,no
I have herd seid eek times twis twelve,u Su S u S uS u Sx,u Su S u S uS u Su,train,TC5_gui_complete.csv,no
And at the brondes ende outran anoon,u S u Su Sx uS uS,u S u Su Su Su Su,train,KnT_gui_complete.csv,no
It had ben hard this rewthe for to se,u S u S u Su S u S,u S u S u Su S u S,train,ClT_gui_complete.csv,yes
To shippe is brought this woful faire maide,u Su S u S uS ux Sx,u Su S u S uS ux Su,train,MLT_gui_complete.csv,no
A Cristofre on his brest of silver shene,u Sux S u S u Su Sx,u Sux S u S u Su uS,train,GP_gui_complete.csv,no
This man to you may falsly ben accused,u S u S u S u SuS,S u S u S u S uSx,train,LGW_FPro_gui_complete.csv,no
That prophet is of wo and of mischaunce,u Su S u S u S uSx,u Su S u S u S uSu,train,LGW_gui_complete.csv,no
Out renneth blood on bothe hir sides rede,u Su S u Su S uS xx,u Su S u Su S uS xx,train,KnT_gui_complete.csv,yes
In grete disese abideth for the peine,u Su Sux Sux S u Sx,u uS Sux SuS S u Sx,train,TC2_gui_complete.csv,no
Sholde I now love and putte in jupartie,ux S u Sx u Sx u SuS,ux S u Su S ux S uSu,train,TC2_gui_complete.csv,no
That he nas glad if he that grace fonde,u S u S u S u Su Sx,u S u S u S u uS Su,train,MkT_gui_complete.csv,no
And for the harm that mighte eek fallen more,u S u S u Su S ux Sx,u S u S u Su S uS Sx,train,TC2_gui_complete.csv,no
And at his hertly wordes and his chere,S u S u Su S u Sx,S u S u Su S u uS,train,LGW_gui_complete.csv,no
The sailing fir the cipres deth to pleine,u Su S u Su S u Sx,u Su S u Su S u Su,train,PF_gui_complete.csv,no
But we that humble been and chast and pore,u S u Su S u S u Sx,u S u Su S u S u Su,train,SumT_gui_complete.csv,no
Which I shall telle yow bitwix us two,u S u Su S uS u S,u S u Su S uS u S,train,SqT_gui_complete.csv,yes
Thanne hadde I with yow hoomly suffisaunce,ux Su S u S u SuSx,ux Su S u S u SuSx,train,SumT_gui_complete.csv,yes
I nere but deed and er ye cause finde,u Su S u S u S ux Sx,u Su S u S u S Sx Su,train,TC4_gui_complete.csv,no
That whan your housbonde is to Flaundres fare,u S u Sux S u Su Sx,u S u Sux S u Su Su,train,ShipT_gui_complete.csv,no
For which wel nigh thou deidest as me thoughte,u S u S u Su S u Sx,u S u S u Su S u Su,train,TC3_gui_complete.csv,no
Than founde they depeinted on a wal,u Su S uSu S u S,u Su S uSS u S S,train,LGW_gui_complete.csv,no
Ywis I am avauntour at the leste,S u S uSu S u Sx,S u S uuu S u Su,train,TC3_gui_complete.csv,no
Al was out of his minde his housbondrie,u S u S u Sx u SuS,u S u S u Su S uSu,train,RvT_gui_complete.csv,no
And every wight gan laughen of this strif,u Su S u Su S u S,u Su S u Su S u S,train,MilT_gui_complete.csv,yes
He hadde more tow on his distaf,u Su Su S u S uS,u Su Sx u S u SS,train,MilT_gui_complete.csv,no
The croslet For in tokning I thee love,u Su S u Su S u Sx,u Su S u Su S u Su,train,CYT_gui_complete.csv,no
Me thinketh it acordaunt to resoun,u Su S uSu S uS,u Su S uuu S uS,train,GP_gui_complete.csv,no
As thus of oon he wolde have fame,u S u S u Sx ux Sx,u S u S u Su Su Su,train,HF_gui_complete.csv,no
For of good will min hert it wolde,u S u S u S u Sx,u S u S u S u Su,train,BD_gui_complete.csv,no
And fertherover now ayenward yit,u SuSu S uSu S,u Suuu S uSS S,train,TC4_gui_complete.csv,no
His eyen to the grounde adoun he caste,u Su S u Sx uS u Sx,u Su S u Sx uS u Sx,train,LGW_gui_complete.csv,yes
Whil that he sang so chaunteth he and craketh,u S u S u Su S u Sx,u S u S u Su S u Su,train,MerT_gui_complete.csv,no
As it a gentil Poileis courser were,u S u Su Su Su Sx,u S u Su Su Su Su,train,SqT_gui_complete.csv,no
Hold nat the devels knif ay at thin herte,u S u Su S u S u Sx,u S u Su S u S u Su,train,SumT_gui_complete.csv,no
Corones two of floures wel smellinge,uSu S u Su S uSx,uSu S u Su S uSu,train,SNT_gui_complete.csv,no
For which I hope his soule be in glorie,u S u Sx u Sx u S uS,u S u Su S ux S u Su,train,WBPro_gui_complete.csv,no
Til that thou be ayein at hir fro me,u S u S uS u S u S,u S u S uS u S u S,train,TC2_gui_complete.csv,yes
But trusteth wel I am a southren man,u Su S u S u Su S,u Su S u S u uS S,train,ParsPro_gui_complete.csv,no
And as hir liste made him turne or wende,u S u Su Sx u Sx u Sx,u S u Su Sx u Sx u Sx,train,Anelida_gui_complete.csv,yes
He gan him thonken in his beste wise,u S u Su S u Su Sx,u S u Su S u Su Su,train,TC3_gui_complete.csv,no
So gay a popelote or swich a wenche,u S u SuSx u S u Sx,u S u SuSx u S u Sx,train,MilT_gui_complete.csv,yes
It semed that the listes sholde falle,u Su S u Su Su Sx,u Su S u Su Su Su,train,KnT_gui_complete.csv,no
Have hir in his armes boltupright,Su S u S ux SuS,ux S u S uS uSu,train,ShipT_gui_complete.csv,no
