text,original_scansion,predicted_scansion,dataset_split,filename,match
And alle thise wer bounde in o volume,u Su Sx u Sx u S uSx,u Su Sx u Sx u S uSx,train,WBPro_gui_complete.csv,yes
For verray shame and blamed himself for he,u Su Sx u Sx uS u S,u Su Sx u Sx uS u S,train,WBPro_gui_complete.csv,yes
And after that she seide as ye may here,u Su S u Su S u S xx,u Su S u Su S u S xx,train,SNT_gui_complete.csv,yes
Ful of water and ye shul see wel thanne,u S uS u S u S u Sx,u S uS u S u S u Sx,train,CYT_gui_complete.csv,yes
And gilteless Now certes it is routhe,u SuS u Su S u Sx,u SuS u Su S u Sx,train,LGW_gui_complete.csv,yes
That we mowe han as goode fame,u S ux S u Su Sx,u S ux S u Su Sx,train,HF_gui_complete.csv,yes
As men may in thise olde gestes rede,u S u S ux Su Su Sx,u S u S ux Su Su Sx,train,SqT_gui_complete.csv,yes
This philosophre answerd Leve brother,u SuSu Su Su Sx,u SuSu Su Su Sx,train,FranT_gui_complete.csv,yes
Hath understonde what this faucon seide,u SuSu S u Su Sx,u SuSu S u Su Sx,train,SqT_gui_complete.csv,yes
Yet nostow not wher that they stonde,u Su S u S u Sx,u Su S u S u Sx,train,HF_gui_complete.csv,yes
Pore and riche And also sone,Sx u Sx u Su Sx,Sx u Sx u Su Sx,train,HF_gui_complete.csv,yes
That ye shul of your grace upon him rewe,u S u S u Sx uS u Sx,u S u S u Sx uS u Sx,train,KnT_gui_complete.csv,yes
For al to long it were for to dwelle,u S u S u Su S u Sx,u S u S u Su S u Sx,train,TC5_gui_complete.csv,yes
If they presumed me to countrefete,u S uSu S u SuSx,u S uSu S u SuSx,train,PhyT_gui_complete.csv,yes
In wifhode I wol use min instrument,u Sux S u Sx u SuS,u Sux S u Sx S SSu,train,WBPro_gui_complete.csv,no
But it shal not bifallen as ye speke,u S u S uSu S u Sx,u S u S uSu S u Sx,train,TC5_gui_complete.csv,yes
Whil that thou Robin hevest up the dore,u S u Su Su S u Sx,u S u Su Su S u Sx,train,MilT_gui_complete.csv,yes
And they that layen at the dore withoute,u S u Su S u Sx uSx,u S u Su S u Sx Sux,train,TC3_gui_complete.csv,no
He leide him bare the visage on the bere,u Su S ux S uSx u S xx,u Su S ux S uSx u S xx,train,KnT_gui_complete.csv,yes
Swiche as the world may of us deme,ux S u S u S u Sx,ux S u S u S u Sx,train,HF_gui_complete.csv,yes
Ful hard were it to helpen in this cas,u S ux S u Su S u S,u S ux S u Su S u S,train,TC1_gui_complete.csv,yes
Hir olde fader wol yet make hir dine,u Su Su S u Sx u Sx,u Su Su S u Sx u Sx,train,TC5_gui_complete.csv,yes
That may me telle wher I am,u S u Su S u S,u S u Sx S x S,train,HF_gui_complete.csv,no
And somtim comth it sauf unto the londe,u Su S u S uS u Sx,u Su S u S uS u Sx,train,CYT_gui_complete.csv,yes
God of his grete goodness seide than,u S u Su Su Su S,u S u Su Su Sx S,train,MerT_gui_complete.csv,no
Bitrent and writh the sote wodebinde,uS u S u Su SuSx,uS u S u Su SuSx,train,TC3_gui_complete.csv,yes
Us moste putte our good in aventure,u Su Sx u S u SuSx,u Su Sx u S u SuSx,train,CYT_gui_complete.csv,yes
After his fader deeth he bar him so,uS u Su S u S u S,uS u Su S u S u S,train,LGW_gui_complete.csv,yes
