text,original_scansion,predicted_scansion,dataset_split,filename,match
I have thy feith and thy benignitee,u Sx u S u S uSuS,u Sx u S u S uSuS,train,ClT_gui_complete.csv,yes
And of Arveragus the worthy knight,u S uSuS u Su S,u S uSuS u Su S,train,FranT_gui_complete.csv,yes
Phebus hath laft the angle meridional,uS u S u Sx xuSuS,uS u S u Sx uSx,train,SqT_gui_complete.csv,no
Leide him to slepe and seide If ye ben wise,ux S u Sx u Sx u S u Sx,ux S u Sx u Sx u S u Sx,train,TC3_gui_complete.csv,yes
I saw Beautee withouten any atir,u S uS uSu Sx uS,u S uS ux Sx Su,train,PF_gui_complete.csv,no
For love and lat me liven as I can,u Sx u S u Su S u S,u Sx u S u Su S u S,train,TC2_gui_complete.csv,yes
And final cause of wo that ye endure,u Su Sx u S u S uSx,u Su Sx u S u S uSx,train,TC1_gui_complete.csv,yes
Tho sodeinly doun from his hors he sterte,u SuS u S u S u Sx,u SuS u S u S u Sx,train,TC5_gui_complete.csv,yes
If in the hondes of som wrecche I falle,u S u Su S u Sx u Sx,u S u Su S u Sx u Sx,train,TC5_gui_complete.csv,yes
Wher is your love wher is your trouthe he seide,u S u Sx u S u Sx u Sx,u S u Sx u S u Sx u Sx,train,TC5_gui_complete.csv,yes
That was the god of slepes eire,u S u S u Su Sx,u S u S u Su Sx,train,BD_gui_complete.csv,yes
Him that I gesse he may not been ybrought,u S u Sx u S u S uS,u S u Sx u S u S uS,train,TC5_gui_complete.csv,yes
Ful litel woot Arcite of his felawe,u Su S uSx u S uSx,u Su S uSx u S uSx,train,KnT_gui_complete.csv,yes
Right as yow list that Minos ne no wight,u S u S u Su S u S,u S u S u Su S u S,train,LGW_gui_complete.csv,yes
And whan this duk was come unto the launde,u S u S u Sx uS u Sx,u S u S u Sx uS u Sx,train,KnT_gui_complete.csv,yes
And yond so goodly gan she me biholde,u S u Su S u S uSx,u S u Su S u S uSx,train,TC5_gui_complete.csv,yes
Nat only that this world hadde him in awe,u Su S u S ux S u Sx,u Su S u S ux S u Sx,train,MkT_gui_complete.csv,yes
My besy gost that thursteth alwey newe,u Su S u Su Su Sx,u Su S u Su Su Sx,train,LGW_FPro_gui_complete.csv,yes
Brother quod he wiltow that I thee telle,uS u S uS u S u Sx,uS u S uS u S u Sx,train,FriT_gui_complete.csv,yes
As any wesele hir body gent and smal,u Su xSx u Su S u S,u Su uSx u Su S u S,train,MilT_gui_complete.csv,no
