LINE_NUMBER,OG_OXFORD_TEXT,OXFORD_TAGGING,OXFORD_SCANSION
Troilus and Criseyde; Book I 1,The double sorwe of Troilus to tellen,the@def_art double@adj sorwe@n of@prep troilus@n#propn to@part tellen@v%inf,u Su Sx u SuS u Su
Troilus and Criseyde; Book I 2,That was the king Priamus sone of Troye,that@pron ben@v%pt_3 the@def_art king@n priam@n#propn%gen sone@n of@prep troie@n1#propn,       
Troilus and Criseyde; Book I 3,"In lovinge, how his aventures fellen",in@prep lovinge@ger1 hou@adv&conj his@pron1%gen aventure@n%pl fallen@v%pt_pl,u Sux S u SuSu Su
Troilus and Criseyde; Book I 4,"Fro wo to wele, and after out of joye",from@prep wo@n to@prep wele@n1 and@conj after@adv oute@adv#prep of@prep joie@n,u S u Sx u Sx u S uS
Troilus and Criseyde; Book I 5,"My purpos is, er that I part fro ye.",min@pron%gen purpos@n ben@v%pr_3 er@conj1 that@part ich@pron%nom parten@v%pr_1 from@prep you@pron%pl_obj,u Su S u S u S u S
Troilus and Criseyde; Book I 6,"Thesiphone, thou help me for t’endite",thesiphone@n#propn thou@pron%nom helpen@v%pr_2 me@pron2%obj for@prep#adv to@part enditen@v%inf,SuSx u S u S  uSx
Troilus and Criseyde; Book I 7,"Thise woful vers, that wepen as I write!",these@gram_adj%pl woful@adj vers@n that@pron wepen@v%pr_pl as@conj ich@pron%nom writen@v%pr_1,ux Su S u Su S u Sx
Troilus and Criseyde; Book I 8,"To thee clepe I, thou goddesse of torment",to@prep the@pron2%obj clepen@v%pr_1 ich@pron%nom thou@pron%nom goddesse@n of@prep torment@n,u S ux S u Sux S uS
Troilus and Criseyde; Book I 9,"Thou cruel Furie, sorwing ever in peine;",thou@pron%nom cruel@adj furie@n sorwen@v%prp_abs ever@adv in@prep peine@n,u Su Su Su S u Sx
Troilus and Criseyde; Book I 10,"Help me, that am the sorwful instrument",helpen@v%imp me@pron2%obj that@pron ben@v%pr_1 the@def_art sorweful@adj instrument@n,u S u S u Su SuS
Troilus and Criseyde; Book I 11,"That helpeth lovers, as I can, to pleine!",that@pron helpen@v%pr_3 lovere@n2%pl as@conj ich@pron%nom connen@v%pr_1 to@part pleinen@v%inf,u Su Su S u S u Sx
Troilus and Criseyde; Book I 12,"For wel sit it, the sothe for to seyne",for@conj wel@adv sitten@v%pr_3 hit@pron the@def_art soth@n for@prep#adv to@part seien@v1%inf,u S u S u Su S u Sx
Troilus and Criseyde; Book I 13,A woful wight to han a drery fere,a@indef_art woful@adj wight@n to@part haven@v%inf a@indef_art dreri@adj fere@n1,u Su S u S u Su Sx
Troilus and Criseyde; Book I 14,"And, to a sorwful tale, a sory chere.",and@conj to@prep a@indef_art sorweful@adj tale@n a@indef_art sori@adj chere@n1,u S u Su Sx u Su Sx
Troilus and Criseyde; Book I 15,"For I, that god of Loves servaunts serve",for@conj ich@pron%nom that@pron god@n1 of@prep love@n1#propn%gen servaunt@n%pl serven@v1%pr_1,u S u S u Su Su Sx
Troilus and Criseyde; Book I 16,"Ne dar to Love, for min unliklinesse",ne@adv durren@v%pr_1 to@prep love@n1#propn for@prep min@pron%gen unliklinesse@n,u S u Sx u S uSuSx
Troilus and Criseyde; Book I 17,"Preyen for speed, al sholde I therfor sterve",preien@v1%inf for@prep spede@n al@conj shulen@v1%pt_1 ich@pron%nom ther-fore@adv sterven@v%inf,uS u S u Sx u Su Sx
Troilus and Criseyde; Book I 18,So fer am I fro his help in derknesse;,so@adv fer@adv ben@v%pr_1 ich@pron%nom from@prep his@pron1%gen help@n in@prep derknesse@n,u S u S u S u S uSx
Troilus and Criseyde; Book I 19,"But nathelees, if this may doon gladnesse",but@conj no-the-lesse@adv if@conj this@pron mouen@v3%pr_3 don@v1%inf gladnesse@n,u SuS u S u S uSx
Troilus and Criseyde; Book I 20,"To any lover, and his cause availe",to@prep ani@gram_adj lovere@n2 and@conj his@pron1%gen cause@n availen@v%inf,u Su Su S u Sx uSx
Troilus and Criseyde; Book I 21,"Have he my thank, and min be this travaile!",haven@v%pr_3 he@pron1%nom min@pron%gen thank@n and@conj min@pron%gen ben@v%pr_3 this@gram_adj travail@n,ux S u S u S u S uSx
Troilus and Criseyde; Book I 22,"But ye loveres, that bathen in gladnesse",but@conj ye@pron%pl_nom lovere@n2%pl that@pron bathen@v%pr_pl in@prep gladnesse@n,u S uSu S ux S uSx
Troilus and Criseyde; Book I 23,If any drope of pitee in yow be,if@conj ani@gram_adj drope@n1 of@prep pite@n in@prep you@pron%pl_obj ben@v%pr_3,u Su Sx u Su S u S
Troilus and Criseyde; Book I 24,Remembreth yow on passed hevinesse,remembren@v%imp you@pron%pl_obj on@prep passed@ppl#adj hevinesse@n,uSu S u Su SuSx
Troilus and Criseyde; Book I 25,"That ye han felt, and on the adversitee",that@pron ye@pron%pl_nom haven@v%pr_pl felen@v1%ppl and@conj on@prep the@def_art adversite@n,       
Troilus and Criseyde; Book I 26,"Of othere folk, and thenketh how that ye",of@prep other@gram_adj folk@n and@conj thinken@v2%imp hou@adv&conj that@part ye@pron%pl_nom,u Sux S u Su S u S
Troilus and Criseyde; Book I 27,Han felt that Love dorste yow displese;,haven@v%pr_pl felen@v1%ppl that@conj love@n1#propn thurven@v%pt_3 you@pron%pl_obj displesen@v%inf,u S u Su Su S uSx
Troilus and Criseyde; Book I 28,Or ye han wonne him with to greet an ese.,or@conj ye@pron%pl_nom haven@v%pr_pl winnen@v%ppl him@pron%obj with@prep to@adv2 gret@adj a@indef_art ese@n,u S u Sx u S u S u Sx
Troilus and Criseyde; Book I 29,And preyeth for hem that ben in the cas,and@conj preien@v1%imp for@prep hem@pron%pl_obj that@pron ben@v%pr_pl in@prep the@def_art cas@n,u Su S u S u S u S
Troilus and Criseyde; Book I 30,"Of Troilus, as ye may after here",of@prep troilus@n#propn as@conj ye@pron%pl_nom mouen@v3%pr_pl after@adv heren@v%inf,u SuS u S u Su Sx
Troilus and Criseyde; Book I 31,That love hem bringe in heven to solas,that@conj love@n1#propn hem@pron%pl_obj bringen@v%pr_3 in@prep heven@n to@prep solas@n,u Sx u Sx u Su S uS
Troilus and Criseyde; Book I 32,And eek for me preyeth to God so dere,and@conj ek@adv for@conj me@pron2%obj preien@v1%imp to@prep god@n1#propn so@adv dere@adj1,u S u S uS u S u Sx
Troilus and Criseyde; Book I 33,"That I have might to shewe, in som manere",that@conj ich@pron%nom haven@v%pr_1 might@n to@part sheuen@v1%inf in@prep som@gram_adj manere@n,u S ux S u Sx u S uSx
Troilus and Criseyde; Book I 34,Swich peine and wo as Loves folk endure,swich@gram_adj peine@n and@conj wo@n as@conj love@n1#propn%gen folk@n enduren@v%pr_pl,u Sx u S u Su S uSx
Troilus and Criseyde; Book I 35,In Troilus unsely aventure.,in@prep troilus@n#propn%gen unseli@adj aventure@n,u SuS uSu SuSx
Troilus and Criseyde; Book I 36,And biddeth eek for hem that been despeired,and@conj bidden@v%imp ek@adv for@prep hem@pron%pl_obj that@pron ben@v%pr_pl despeiren@v%ppl,u Su S u S u S uSx
Troilus and Criseyde; Book I 37,"In love, that never nil recovered be",in@prep love@n1 that@pron never@adv willen@v%pr_3_neg recoveren@v2%ppl ben@v%inf,u Sx u Su S uSux S
Troilus and Criseyde; Book I 38,And eek for hem that falsly been apeired,and@conj ek@adv for@prep hem@pron%pl_obj that@pron falsli@adv ben@v%pr_pl apeiren@v%ppl,u S u S u Su S uSx
Troilus and Criseyde; Book I 39,"Thorugh wikked tonges, be it he or she;",thurgh@prep wikked@adj tonge@n2%pl ben@v%pr_3 hit@pron he@pron1%indef or@conj she@pron%indef,uS uS uS u S u S x
